,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
JC037706,4.920564805247941,3.654076044782483,42.08591441639392,5.680307988724099e-195,2.8401539943620496e-191,435.5286103102367,Basal_vs_Her2
DQ597485,-3.500952841343793,2.800555221683206,-41.16555903540207,3.876270508101354e-190,9.690676270253385e-187,424.43473557734336,Basal_vs_Her2
DQ584545,4.052405157577738,1.1562860319734307,36.78272343836548,1.6113832965620968e-166,2.6856388276034948e-163,370.2157177997916,Basal_vs_Her2
DQ572382,3.5036273891843623,3.394613910710715,36.70220518032725,4.466346670554429e-166,5.582933338193037e-163,369.19912559230426,Basal_vs_Her2
DQ590013,4.7092269274982845,4.063256955937642,36.63466717786848,1.0509060308442156e-165,1.0509060308442155e-162,368.3458751609724,Basal_vs_Her2
DQ584699,3.720674523888011,1.5400313789275988,36.0986527442472,9.513433322758416e-163,7.92786110229868e-160,361.5567101701684,Basal_vs_Her2
KF274566,3.631891555896961,2.3198383248708523,36.04862033506631,1.7988649895563978e-162,1.2849035639688557e-159,360.92144199417083,Basal_vs_Her2
Histone3,4.336674863789898,-0.03562749642083058,34.926222615058315,3.095524808803884e-156,1.9347030055024275e-153,346.6023262291519,Basal_vs_Her2
SNORD81,5.065468061984218,1.1589015284424438,34.52241905684193,5.590668257699111e-154,3.1059268098328395e-151,341.4199080338936,Basal_vs_Her2
DQ580854,-4.487686232254952,-0.34535005071623615,-33.27887698628014,5.480364846308005e-147,2.7401824231540026e-144,325.3638946914962,Basal_vs_Her2
DQ141286,3.5628789364565323,2.059229191596982,33.187074205710864,1.808479485605162e-146,8.220361298205282e-144,324.1730716719674,Basal_vs_Her2
DQ586951,4.896420423968662,4.268525396665237,31.923622062670564,2.6542558320419117e-139,1.1059399300174632e-136,307.71320820187884,Basal_vs_Her2
DQ593048,3.4989413024433507,3.636886371215496,30.68270425503382,3.258020073579363e-132,1.2530846436843706e-129,291.43064368262077,Basal_vs_Her2
septin 9/TNRC6C fusion,4.123742547664007,3.9084549597889673,30.37758476646379,1.8308765580329984e-130,6.538844850117852e-128,287.4116708258539,Basal_vs_Her2
DQ598167,2.783117989564609,0.6389056349911288,30.199137573858486,1.936678676755186e-129,6.455595589183953e-127,285.05866735325395,Basal_vs_Her2
DQ584698,2.4260494662078855,-1.4062480710794478,29.86450110209808,1.6223178187884402e-127,5.069743183713876e-125,280.64139703975724,Basal_vs_Her2
AY006260,2.499530840583649,1.7056814980407682,29.857640253059845,1.7766039177868308e-127,5.225305640549502e-125,280.55077004284647,Basal_vs_Her2
MIR1281,5.04852416210078,1.0072792750846358,29.5447982968046,1.1213512526945468e-125,3.114864590818186e-123,276.41582399081716,Basal_vs_Her2
M26316,-2.1042404594380186,1.2635748700801637,-29.028670467515155,1.056733557684477e-122,2.7808777833802023e-120,269.58396863994136,Basal_vs_Her2
MIR4519,-5.346608071256829,3.021565722939185,-28.852254876169134,1.1007492430120832e-121,2.7518731075302077e-119,267.2462221046919,Basal_vs_Her2
DM110804,3.64285354728526,1.68253881073649,28.774412331634387,3.0968417864946213e-121,7.373432824987194e-119,266.21432091007836,Basal_vs_Her2
TRBV4-2,2.666739947163975,1.7064860785486309,28.76233337738494,3.63609842765993e-121,8.263860062863478e-119,266.0541788795647,Basal_vs_Her2
DQ590589,3.2853119271098246,0.28585004690753235,28.61471898401777,2.5870942063964132e-120,5.6241178399922025e-118,264.09669068600454,Basal_vs_Her2
DQ585302,2.12263390592804,-1.4232583207980336,28.567412441133822,4.852690512228318e-120,1.0109771900475663e-117,263.4692052377918,Basal_vs_Her2
DQ578783,4.623731047607204,3.178296495897858,28.53731391703618,7.241071821165067e-120,1.4482143642330133e-117,263.0699315408497,Basal_vs_Her2
SNORD48,1.9343937466578076,8.05964541741705,28.003870665798733,8.75935630035838e-117,1.6844915962227654e-114,255.98886889098304,Basal_vs_Her2
DQ576791,-4.10521414250116,0.034715999760696004,-27.73300545902801,3.228535849251708e-115,5.978770091206867e-113,252.39044569292304,Basal_vs_Her2
MIR1268A,2.242804778755221,3.5817811599653497,27.207429792703834,3.5514051222190584e-112,6.341794861105462e-110,245.4041751463615,Basal_vs_Her2
DQ582265,2.260258465217906,-0.13412869476354125,27.198541050718337,3.998091898796963e-112,6.893261894477522e-110,245.2859855658781,Basal_vs_Her2
AY006263,-5.071177022346947,2.5853805871805573,-26.938149289677046,1.2861406273597701e-110,2.1435677122662833e-108,241.82331945159447,Basal_vs_Her2
MIR6087,3.4493292628805152,-0.006570750037445132,26.919150621811283,1.6568515753668586e-110,2.6723412505917072e-108,241.57065459554627,Basal_vs_Her2
MIR320E,2.150041344930089,1.9933516959512123,26.885474108761187,2.5957360417602708e-110,4.055837565250423e-108,241.12278208484656,Basal_vs_Her2
SNORD44,-3.7686658751199578,-0.41844385553476465,-26.804124204880775,7.678280872143589e-110,1.1633758897187255e-107,240.0408623697148,Basal_vs_Her2
MIR6759,3.9753296225737977,2.260868725332873,26.489415664201523,5.098770886592464e-108,7.498192480283035e-106,235.85518036126277,Basal_vs_Her2
MIR6727,3.466752897688545,1.1993975172207374,26.361076244552393,2.8220602643954777e-107,4.031514663422111e-105,234.14824896380148,Basal_vs_Her2
