,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
DQ597485,-3.500952841343793,2.800555221683206,-41.16555903540207,3.876270508101354e-190,9.690676270253385e-187,424.43473557734336,Basal_vs_Her2
DQ580854,-4.487686232254952,-0.34535005071623615,-33.27887698628014,5.480364846308005e-147,2.7401824231540026e-144,325.3638946914962,Basal_vs_Her2
M26316,-2.1042404594380186,1.2635748700801637,-29.028670467515155,1.056733557684477e-122,2.7808777833802023e-120,269.58396863994136,Basal_vs_Her2
MIR4519,-5.346608071256829,3.021565722939185,-28.852254876169134,1.1007492430120832e-121,2.7518731075302077e-119,267.2462221046919,Basal_vs_Her2
DQ576791,-4.10521414250116,0.034715999760696004,-27.73300545902801,3.228535849251708e-115,5.978770091206867e-113,252.39044569292304,Basal_vs_Her2
AY006263,-5.071177022346947,2.5853805871805573,-26.938149289677046,1.2861406273597701e-110,2.1435677122662833e-108,241.82331945159447,Basal_vs_Her2
SNORD44,-3.7686658751199578,-0.41844385553476465,-26.804124204880775,7.678280872143589e-110,1.1633758897187255e-107,240.0408623697148,Basal_vs_Her2
SNORD95,-2.0787167098473986,2.5716041495065074,-25.95193985056948,6.595605354298496e-105,8.91298020851148e-103,228.70730870019673,Basal_vs_Her2
TRNA_Val,-2.9052627450239563,0.7118727864051216,-25.804287199531146,4.7196470719946856e-104,6.050829579480366e-102,226.744156583874,Basal_vs_Her2
DQ598345,-3.1058843850942623,-0.009899115173912032,-25.56817780692215,1.0971752320526093e-102,1.3714690400657617e-100,223.60561376361312,Basal_vs_Her2
JC037707,-2.4803375033657087,-0.7322631480436531,-25.565902454445084,1.130944676750829e-102,1.379200825305889e-100,223.57537303647297,Basal_vs_Her2
TRNA_Pseudo,-2.5150508553940707,1.3650295639130074,-25.496880159611624,2.836535661613522e-102,3.3768281685875265e-100,222.6580778442687,Basal_vs_Her2
DQ580250,-3.597011680393537,-0.8685121659084892,-25.426919685671283,7.203088232689498e-102,8.375683991499415e-100,221.7284186940766,Basal_vs_Her2
SNORD34,-3.624550033150009,4.070032887093452,-25.397584978857687,1.0646571371240935e-101,1.2098376558228335e-99,221.3386418780959,Basal_vs_Her2
M37726,-4.781779742550818,1.1575682247733798,-25.32546076039283,2.7821842292252488e-101,3.0913158102502765e-99,220.38039860951002,Basal_vs_Her2
DD181999,-2.4572316846490434,1.479250412213227,-25.24116823986933,8.548188035220527e-101,8.904362536688049e-99,219.2606533785338,Basal_vs_Her2
MIR3064,-2.239799591440395,1.3399295409951324,-24.682569927825938,1.4456709133149006e-97,1.4173244248185302e-95,211.84568413019628,Basal_vs_Her2
