,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
JC037706,6.6186336404333135,5.31084321529985,77.84150082653504,0.0,0.0,1407.1472944622876,Basal_vs_LumA
DQ597485,5.814729619849531,2.694346059425658,52.85810325006862,0.0,0.0,875.720496299411,Basal_vs_LumA
DQ584545,6.1935824225425105,3.350374437305636,57.23811981658626,0.0,0.0,973.5461249634193,Basal_vs_LumA
DQ572382,5.597816017715082,2.2644932534131574,49.51719326357425,0.0,0.0,800.2610391817069,Basal_vs_LumA
DQ590013,5.603781715649599,5.534355081337356,50.052587924114775,0.0,0.0,812.3905968523927,Basal_vs_LumA
DQ584699,4.922188904376305,2.2674089998556246,48.48929998764597,0.0,0.0,776.9435872685367,Basal_vs_LumA
KF274566,4.803393003036759,2.0238794324055123,49.939210017449305,0.0,0.0,809.8229744840935,Basal_vs_LumA
Histone3,5.035443727135967,1.7875700714727591,48.526293579780734,0.0,0.0,777.7833840310365,Basal_vs_LumA
SNORD81,5.658746944350191,6.535951659145518,61.76436495574518,0.0,0.0,1072.878474506467,Basal_vs_LumA
DQ580854,5.471708624225014,5.708969069372291,79.92290167305795,0.0,0.0,1448.106906191522,Basal_vs_LumA
DQ141286,4.909406484560822,5.364514036936666,54.0358831092384,0.0,0.0,902.1664956508147,Basal_vs_LumA
DQ586951,-4.765838624895687,-0.6390734402234377,-49.40472904293625,0.0,0.0,797.7116606406933,Basal_vs_LumA
DQ593048,4.3294362426442445,2.58261144618469,48.73573604984831,0.0,0.0,782.5371697547623,Basal_vs_LumA
septin 9/TNRC6C fusion,4.2470810742024945,1.7122478172100537,48.100398175704,0.0,0.0,768.1126711211396,Basal_vs_LumA
DQ598167,4.553582073695031,3.8312306210440665,70.52911453407854,0.0,0.0,1258.9601834907635,Basal_vs_LumA
DQ584698,4.939247501156934,4.386725907670237,76.05598715726336,0.0,0.0,1371.577624609273,Basal_vs_LumA
AY006260,5.5705682865599755,5.836798902975232,95.41737398288635,0.0,0.0,1736.1664360463935,Basal_vs_LumA
MIR1281,4.872654668537404,5.285844005345632,78.88538703885428,0.0,0.0,1427.7577119290181,Basal_vs_LumA
M26316,4.046851733019052,2.9888897431005352,59.09506895631845,0.0,0.0,1014.5373956339282,Basal_vs_LumA
