,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
DQ586951,-4.765838624895687,-0.6390734402234377,-49.40472904293625,0.0,0.0,797.7116606406933,Basal_vs_LumA
DQ590589,-4.537308087647384,-2.44746243571449,-56.02948698009997,0.0,0.0,946.7019852795871,Basal_vs_LumA
AY006263,-3.766986900586991,0.5829771889913635,-64.66075463047667,0.0,0.0,1135.3390626138287,Basal_vs_LumA
MIR320E,-3.9514381502522156,-1.7384502617805013,-55.89662449540021,0.0,0.0,943.7436087625789,Basal_vs_LumA
MIR6759,-3.781261453817489,-1.689381690702809,-50.38571416852862,0.0,0.0,819.9315026149748,Basal_vs_LumA
MIR6727,-3.9572151520053622,-1.4480701506716303,-51.9896712521928,0.0,0.0,856.1635129741082,Basal_vs_LumA
DQ580250,-2.9353456714360107,1.8527918512462243,-47.263408127069376,0.0,0.0,749.0939915479697,Basal_vs_LumA
DM110819,-3.873991584544055,-2.300417758767307,-58.79738400581873,0.0,0.0,1007.9876359835176,Basal_vs_LumA
MIR4664,-2.680646476347121,0.5362398239688787,-48.03518256514643,0.0,0.0,766.6313924010248,Basal_vs_LumA
SNORD79,-3.0230681679388436,-0.9803410502068085,-47.186624219692064,0.0,0.0,747.3485162455521,Basal_vs_LumA
SNORD52,-3.210761673074348,0.09492237427103807,-57.78583553547888,0.0,0.0,985.6693900717074,Basal_vs_LumA
D64149,-2.98120412437635,2.0588792983965716,-54.46125431105353,0.0,0.0,911.6941480824769,Basal_vs_LumA
DQ574292,-2.907973225416966,-1.2186277931759248,-48.176008104776365,0.0,0.0,769.8299004860789,Basal_vs_LumA
MIR6777,-2.624995950746999,1.4182298056272806,-49.36568402608066,0.0,0.0,796.8264614260457,Basal_vs_LumA
SNORD4B,-2.650440291608696,2.9249036556583476,-49.43680489776898,0.0,0.0,798.4388169322262,Basal_vs_LumA
SNORD36C,-2.518584382198709,0.7279994616867181,-47.4867550342185,0.0,0.0,754.1705435167562,Basal_vs_LumA
SNORD36B,-2.827090337452175,-1.559722451966806,-50.20306343201196,0.0,0.0,815.7974910496297,Basal_vs_LumA
SNORD60,-2.466654205379395,2.081491940742358,-46.702926464245536,0.0,0.0,736.3507175387307,Basal_vs_LumA
SNORD65,-2.4045745665363434,-0.2964463010017575,-49.224677034454544,0.0,0.0,793.6291824519578,Basal_vs_LumA
SNORD35A,-2.569694861401021,-1.6356896132194974,-49.77498829591311,0.0,0.0,806.1029496532477,Basal_vs_LumA
DQ577523,-2.328821286951965,1.3996414776168493,-47.65338117278288,0.0,0.0,757.95719599433,Basal_vs_LumA
DQ576862,-2.589578042781745,0.4473399736407528,-55.91341620667387,0.0,0.0,944.1175800507584,Basal_vs_LumA
JA611308,-2.274730048996554,3.321600679468901,-46.82770567356176,0.0,0.0,739.188149387207,Basal_vs_LumA
MIR8075,-2.2814400264064023,0.6723636246387544,-48.09197485113627,0.0,0.0,767.9213537166249,Basal_vs_LumA
DQ583840,-2.0998130894212292,0.29130607852571005,-46.70810548372832,0.0,0.0,736.4684906341074,Basal_vs_LumA
X58752,-2.456526980127155,-1.7919560227105789,-48.923743758219416,0.0,0.0,786.8032411866762,Basal_vs_LumA
MIR4784,-2.0299448319003086,0.913816025316628,-50.53402931967451,0.0,0.0,823.2872562380691,Basal_vs_LumA
SNORD32A,-2.1898983690578393,-0.06311609360586821,-45.75538706404507,1.70504485e-316,7.22476632e-315,714.7988701640859,Basal_vs_LumA
MIR4767,-2.128427752602705,0.9992341537029079,-45.694246999148405,6.8582122e-316,2.8816017587e-314,713.4080439740883,Basal_vs_LumA
U30188,-2.2908039863938425,0.41668682061605355,-45.57676324026157,9.948353584e-315,4.1451473265e-313,710.7354773850303,Basal_vs_LumA
MIR6739,-2.392184658793671,1.22644497632845,-45.532571194212316,2.7206467053e-314,1.115019141503e-312,709.7301744649825,Basal_vs_LumA
DL489966,-2.1269602755417845,-0.2613292596728902,-45.43591802887181,2.4562404795e-313,9.82496191809e-312,707.5314565953789,Basal_vs_LumA
SNORD58C,-2.3746384667384652,-2.69098564375036,-45.010592887271066,3.93856162191771e-309,1.5032677946250792e-307,697.856116318543,Basal_vs_LumA
HTJA99,-2.4175878388714773,-2.870923122755905,-45.00893266465992,4.09026315368623e-309,1.5493421036690272e-307,697.8183506804672,Basal_vs_LumA
MIR4426,-2.292840624451847,0.5932464929843171,-45.003410500577445,4.63815719703581e-309,1.743668119186395e-307,697.692736273986,Basal_vs_LumA
DQ594771,-2.0416956733459437,1.8682129819765159,-44.96525365715161,1.105545489342175e-308,4.094612923489538e-307,696.8247750347015,Basal_vs_LumA
DL492006,-3.4812423228375122,-0.3290076430414815,-44.84864008202112,1.571932430085827e-307,5.736979671846084e-306,694.1721972986925,Basal_vs_LumA
SNORD63,-2.1619091119808598,1.3882073233517778,-44.79009326930449,5.959646755455354e-307,2.1437578257033644e-305,692.8404836355319,Basal_vs_LumA
SNORD96A,-2.017506109907522,0.5080934105624161,-44.672335084661036,8.696176366982597e-306,3.083750484745602e-304,690.1620226541313,Basal_vs_LumA
