,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
Histone3,-3.8754642614783226,1.8838460566426858,-57.773306666360575,0.0,0.0,767.9068061516266,Basal_vs_LumB
DQ580854,-4.598562109620205,-0.5831250518346972,-53.520539717129154,4.78783317923e-312,2.39391658961585e-309,704.742805971836,Basal_vs_LumB
DQ593048,-4.759592595415626,-1.3787640129612069,-52.26144872167937,1.0032313315285442e-303,3.858582044340555e-301,685.6111129131009,Basal_vs_LumB
septin 9/TNRC6C fusion,-5.8197477758101055,-0.6632103173511454,-51.665134412579846,9.369071146572414e-300,3.346096838061577e-297,676.4825317094391,Basal_vs_LumB
SNORD48,-3.5728859068415906,0.16964961661843406,-46.78361402721447,1.4401076831521775e-266,2.769437852215726e-264,600.1714446853215,Basal_vs_LumB
MIR1268A,-6.053992573036867,1.5294066337906977,-45.86676519247899,3.324859958554034e-260,5.937249925989347e-258,585.537849711751,Basal_vs_LumB
DQ582265,-5.391025579153533,0.9565895605447565,-45.12867717057179,4.704797258133908e-255,8.111719410575704e-253,573.6925820334765,Basal_vs_LumB
MIR6087,-3.9268240868778004,1.022048951664882,-45.011556160628956,3.1054455794474135e-254,5.008783192657118e-252,571.8077589401998,Basal_vs_LumB
SNORD44,-4.234711728889069,-1.4480575452595685,-44.53461876072682,6.852663730468061e-251,1.0382823834042517e-248,564.118000388053,Basal_vs_LumB
DQ598345,-4.5212914118039125,2.774545670019164,-42.929183534238305,1.4538898744284078e-239,1.8173623430355099e-237,538.0688669879688,Basal_vs_LumB
TRNA_Pseudo,-4.4203329487002705,-0.9558035001591154,-42.20215465416527,2.1193201442418774e-234,2.523000171716521e-232,526.1931699143012,Basal_vs_LumB
DQ582231,-4.002403757235508,-1.1602900510055196,-40.99552648639571,8.707708573681614e-226,9.464900623566973e-224,506.38254685027164,Basal_vs_LumB
DM110819,-2.8439383129160607,-1.4486072722655865,-40.95307631251282,1.7534185755860033e-225,1.865338910197876e-223,505.68341440944926,Basal_vs_LumB
DD181999,-2.7484681651132767,-0.9133624920922475,-40.91565039333505,3.2504271120298184e-225,3.385861575031061e-223,505.0669104697722,Basal_vs_LumB
MIR4664,-3.5553542909230127,-0.9029379067625507,-40.50107503061296,3.0507976696182124e-222,3.1130588465491963e-220,498.23044866135126,Basal_vs_LumB
MIR3064,-3.864493432187189,-1.7305395753570763,-40.31820172982608,6.272079021380186e-221,6.149097079784497e-219,495.21064191323853,Basal_vs_LumB
SNORD87,-5.505523808377433,1.3311103590491953,-39.710323040159885,1.4774791742575038e-216,1.3191778341584855e-214,485.1550424101042,Basal_vs_LumB
MIR3929,-4.126334418188878,-0.9876496237577403,-39.29715805511353,1.4047245310666733e-213,1.2109694233333391e-211,478.3056212821592,Basal_vs_LumB
FJ840426,-4.9811520226925765,0.5612280147939419,-39.26008339831254,2.6005590136967594e-213,2.203863570929457e-211,477.6904389058942,Basal_vs_LumB
MIR631,-4.401534724131256,1.8333139898526145,-38.957492197565045,3.977097276258351e-211,3.314247730215292e-209,472.666176740854,Basal_vs_LumB
MIR4459,-2.8969301122767432,-0.8176504067797439,-38.58743696181838,1.8815386810529974e-208,1.493284667502379e-206,466.51389149463125,Basal_vs_LumB
SNORD42A,-2.62936802944214,1.8038828373623326,-38.41523949997059,3.314891393109287e-207,2.5897589008666304e-205,463.64823128159014,Basal_vs_LumB
D64149,-5.029319916046497,0.08514094919454102,-38.033756789292575,1.920332201988982e-204,1.4547971227189255e-202,457.293623804243,Basal_vs_LumB
U7,-4.859178303101262,-0.5875607083464909,-37.88583865677098,2.2678903694845334e-203,1.6433988184670532e-201,454.82748704800963,Basal_vs_LumB
Mir_324,-3.871109336385603,-1.1091035623941659,-37.77054848777322,1.5548966431068452e-202,1.0797893354908648e-200,452.9045257096932,Basal_vs_LumB
HW321074,-3.6761901930507936,-1.0106782328023491,-37.70574558029893,4.589673171043488e-202,3.143611760988691e-200,451.82335301502496,Basal_vs_LumB
MIR6777,-4.742011958539159,-0.5017062339193056,-37.6135501453082,2.1415516815963945e-201,1.427701121064263e-199,450.2847920171655,Basal_vs_LumB
MIR1204,-4.514906440935886,-1.7723330992050152,-37.38492121891203,9.781341736159378e-200,6.3515206078957e-198,446.4675918096242,Basal_vs_LumB
MIR7161,-2.5984424901010756,3.43211780150952,-36.89449212671163,3.582192083242909e-196,2.1842634653920178e-194,438.2710522450959,Basal_vs_LumB
JA611306,-2.9293929499971147,-0.8102842236907333,-36.880655363019585,4.516090395802539e-196,2.720536383013578e-194,438.03964309408275,Basal_vs_LumB
SNORD35A,-2.804287144722329,-0.04783598765425026,-36.57609479058226,7.417310488137069e-194,4.3123898186843426e-192,432.9440866924368,Basal_vs_LumB
T cell antigen receptor beta-chain,-2.3929115467969675,1.6342328125305237,-36.55199018783374,1.1108657751351734e-193,6.384286063995249e-192,432.54063652869115,Basal_vs_LumB
JA611308,-2.905557018232339,-2.235635909985414,-36.2050854765592,3.72589999344577e-191,1.9609999965504053e-189,426.7318968138404,Basal_vs_LumB
MIR6821,-3.4715359582506373,-0.5486350828259858,-36.084466045450206,2.817198118404651e-190,1.4521639785590985e-188,424.7111750207432,Basal_vs_LumB
SNORD35B,-3.6326420958207475,-0.6205680860574949,-36.05247278920283,4.818266985076586e-190,2.458299482181932e-188,424.1751132566742,Basal_vs_LumB
SNORD54,-4.068283796612375,-0.04077367164360926,-35.56375618408233,1.7578135563838383e-186,8.702047308830883e-185,415.9824477174034,Basal_vs_LumB
MIR8075,-3.1672177560687573,-0.5084203698548406,-35.5441551686027,2.442874419100477e-186,1.1974874603433712e-184,415.65371804940287,Basal_vs_LumB
SNORD38A,-2.883585986194672,-1.187013634283624,-35.29228831921487,1.678318259539027e-184,7.842608689434707e-183,411.4287549353925,Basal_vs_LumB
X58752,-4.230449418526689,-1.3319601316868843,-35.243481615542514,3.809972768363471e-184,1.763876281649755e-182,410.60986118117796,Basal_vs_LumB
MIR4784,-3.713886718920476,0.9240718551898656,-35.24249580171476,3.8735903360155764e-184,1.7768763009245764e-182,410.5933203211288,Basal_vs_LumB
AF343406,-2.8976884176596105,0.7149685958571339,-35.10896054167416,3.6507642611918077e-183,1.6444884059422556e-181,408.3525437081005,Basal_vs_LumB
SNORD74,-2.436344888059421,1.8139100745170258,-35.10470745049798,3.9211826516348975e-183,1.750527969479865e-181,408.28116862705224,Basal_vs_LumB
SNORD110,-2.5764915399487824,3.1671796480414605,-34.931200204741174,7.237310290930296e-182,3.1742588995308316e-180,405.3690628238189,Basal_vs_LumB
SNORD77,-4.074603401912557,0.593390138109637,-34.89664656873135,1.2934860058651794e-181,5.623852199413824e-180,404.78905144487373,Basal_vs_LumB
HW120450,-3.1000841655075724,4.272502989753815,-34.58644251224144,2.3776638691784696e-179,1.0160956705890895e-177,399.5810847713344,Basal_vs_LumB
U30188,-4.754796948745808,1.1959533942644274,-34.5048396249078,9.374208768375196e-179,3.905920320156331e-177,398.2108179189413,Basal_vs_LumB
MIR6739,-2.6421264475302997,2.594779958647803,-34.37220344808253,8.717592636424027e-178,3.572783867386896e-176,395.98341819208815,Basal_vs_LumB
DQ590404,-2.2081548595100253,-0.5822903111873351,-34.22171115509864,1.0948287493494242e-176,4.4505233713391225e-175,393.45591009969746,Basal_vs_LumB
AB306139,-2.701171901903372,0.16739712057226513,-34.085700315858475,1.0780276674996754e-175,4.277887569443157e-174,391.1714309413079,Basal_vs_LumB
MIR4442,-4.01164430066723,-0.12201253048039525,-34.038921561455034,2.3673870384032455e-175,9.3204214110364e-174,390.3856867222488,Basal_vs_LumB
DQ576653,-3.51180271409361,-0.3770015894820095,-34.008328117393305,3.960099842437775e-175,1.5469140009522557e-173,389.87179942756404,Basal_vs_LumB
AY006094,-2.3104157070882705,-1.1950589435712442,-33.92253162552343,1.6762092116985182e-174,6.446958506532762e-173,388.4306190236622,Basal_vs_LumB
SNORD58C,-2.45007619919723,1.546717476736102,-33.76561849448408,2.346385498305525e-173,8.955669840860783e-172,385.7947526930036,Basal_vs_LumB
MIR4754,-2.2139502462057425,2.6961033036612014,-33.57398025991796,5.8903594732158e-172,2.197895325826791e-170,382.5754733678166,Basal_vs_LumB
T-cell antigen receptor VJ junction a...,-2.3620262294397927,-2.2435166413361114,-33.43535451820159,6.062933317072862e-171,2.1967149699539358e-169,380.24672869714254,Basal_vs_LumB
HM222546,-4.047979874571538,-0.9577929660313544,-33.38006457254986,1.5364732841141081e-170,5.487404586121814e-169,379.3179329806836,Basal_vs_LumB
SNORD96A,-2.3654341785777775,1.3537136067774116,-33.36688550277162,1.9177215562320483e-170,6.800431050468256e-169,379.0965437557653,Basal_vs_LumB
DQ597999,-3.1271067564152006,2.3716924155059917,-32.806693900956304,2.3662830056501863e-166,7.994199343412791e-165,369.6870768304244,Basal_vs_LumB
JC221905,-2.3438261649211367,0.7027297509644158,-32.802867392710475,2.523533490200959e-166,8.468233188593822e-165,369.62281299954475,Basal_vs_LumB
MIR4516,-3.07479085027596,-1.0592077363474244,-32.77839368677146,3.8082211966638563e-166,1.269407065554619e-164,369.211796433935,Basal_vs_LumB
U6,-3.455324552148391,-0.9006358831020989,-32.66150981144046,2.7176468247374895e-165,8.998830545488375e-164,367.24892909617586,Basal_vs_LumB
MIR5095,-3.7521685807162135,-1.012532747592318,-32.562345140684265,1.439518029809354e-164,4.673759837043357e-163,365.5837759512068,Basal_vs_LumB
DQ574810,-2.034034080676258,0.8520034950808797,-32.560542891571075,1.483799291637325e-164,4.7864493278623383e-163,365.553514329426,Basal_vs_LumB
TRNA_Asn,-4.771495369431818,0.22312725991895282,-32.50176195593471,3.9858147067547475e-164,1.2775047137034448e-162,364.56655036967686,Basal_vs_LumB
MIR6850,-2.8263471419764845,2.91109010940364,-32.42832072892238,1.3697927240016997e-163,4.334787101271202e-162,363.33351363130475,Basal_vs_LumB
DQ595741,-2.7559234688117953,-2.1709704044717713,-32.25281915053373,2.616284449591671e-162,8.175888904973971e-161,360.387344908862,Basal_vs_LumB
DQ591798,-2.2165373653169866,-0.22481189878417088,-32.182826859025575,8.482077681369797e-162,2.61792521029932e-160,359.2125488125142,Basal_vs_LumB
DQ576856,-4.296560533187166,-0.21540600514945624,-32.15513106023851,1.3508869146167494e-161,4.11855766651448e-160,358.74771398771,Basal_vs_LumB
L07266,-3.1125428289335195,3.4437011081702487,-31.992240440872717,2.0854443341596235e-160,6.243845311855161e-159,356.01418605454285,Basal_vs_LumB
MIR940,-1.9542718069853038,-2.3377075697103984,-31.990685800122993,2.1406278486346803e-160,6.370916216174644e-159,355.9881001617291,Basal_vs_LumB
Y_RNA,-3.9986894197033274,3.9636106085901965,-31.929160401855682,6.017355922538084e-160,1.7802828173189596e-158,354.95579244241753,Basal_vs_LumB
CLEC3A,-4.422092166123944,0.9092916925410071,-31.759540302247377,1.0391060632719569e-158,3.020657160674293e-157,352.110339574489,Basal_vs_LumB
SNORD71,-3.1026301198640094,-0.22091820731983045,-31.659935653788505,5.533975161192067e-158,1.5994147864716957e-156,350.4398143090957,Basal_vs_LumB
SNORD49A,-4.453023780057656,3.6158366096384413,-31.591893098163407,1.7344804535961497e-157,4.955658438846142e-156,349.2988104803544,Basal_vs_LumB
MIR1469,-2.1298628458454796,3.1451096449693976,-31.285848954114027,2.95029370404027e-155,8.19526028900075e-154,344.1686904220994,Basal_vs_LumB
MIR25,-2.6412584589195185,-1.9568552943620376,-31.28435773364532,3.0250387405470464e-155,8.356460609245984e-154,344.1437018010025,Basal_vs_LumB
SNORD12B,-4.246615430491629,0.3694681774414269,-31.210898387983054,1.0373922280183138e-154,2.8190006196149833e-153,342.9128368782118,Basal_vs_LumB
MIR3936,-4.380017708103858,3.0622599214915147,-31.193509167842887,1.3887520409578943e-154,3.7533838944807957e-153,342.62149842163365,Basal_vs_LumB
DQ589398,-3.6922358677667364,0.5787955462865046,-30.848310006042293,4.532246217919615e-152,1.1990069359575701e-150,336.84063522165025,Basal_vs_LumB
SCGB2A2,-2.235979894700692,-1.2845937084672616,-30.4784124432302,2.2245451466670714e-149,5.646053671743836e-148,330.6522455790722,Basal_vs_LumB
DQ571149,-2.3751383142346145,-2.3459702295113414,-30.331352084008362,2.607559726040687e-148,6.486466980200715e-147,328.1938813948361,Basal_vs_LumB
