,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
DQ582265,-2.663100185548416,4.089905720541868,-28.16044876413304,5.2146426559144075e-111,8.990763199852426e-109,242.7918362685817,Basal_vs_Normal
AY006263,-2.4055855334163496,1.6316144973561166,-27.90005943204821,1.1845679427154714e-109,1.9742799045257854e-107,239.67688489340725,Basal_vs_Normal
MIR6087,-2.5968941136650745,2.587678644972965,-27.468567583635018,2.1139519388256815e-107,3.409599901331744e-105,234.50596692479004,Basal_vs_Normal
MIR5096,-2.3680518438015037,2.4124654434154613,-26.893990077562822,2.1389856623518027e-104,2.814454818883951e-102,227.60427998882747,Basal_vs_Normal
JC037707,-2.5287737207224272,3.192767371861141,-26.729375957966358,1.5576953967355557e-103,1.8996285326043363e-101,225.62392410014607,Basal_vs_Normal
DQ580250,-2.663582686530343,3.2529410087781967,-26.640765506276328,4.537979602806679e-103,5.276720468379859e-101,224.5573968252491,Basal_vs_Normal
M37726,-2.245942751147035,2.3101263842233504,-26.59410424064147,7.970048219809741e-103,8.855609133121934e-101,223.9956346610994,Basal_vs_Normal
MIR4664,-2.2245353869847646,1.901731116234674,-26.516141013304075,2.0428483791290715e-102,2.0845391623766038e-100,223.05681166613894,Basal_vs_Normal
TCRVB,-2.2382774599392197,0.6346701498761523,-26.47960757641938,3.1756037480029503e-102,3.1756037480029503e-100,222.61679137021792,Basal_vs_Normal
JC037840,-1.8589581761232066,1.8755724293146427,-26.382732798740683,1.023241025888608e-101,9.80809363122773e-100,221.4497315549829,Basal_vs_Normal
SNORD4A,-2.0519666676268806,0.17353338003881033,-26.380138970951926,1.0558106262707658e-101,9.80809363122773e-100,221.41847817566278,Basal_vs_Normal
SNORD52,-2.3890926383479676,0.7708574801272983,-26.354261390297115,1.4432942537720605e-101,1.3120856852473277e-99,221.10666087903402,Basal_vs_Normal
FJ840426,-2.427518834412376,1.8746963749972252,-26.190850282713154,1.0398453880391603e-100,8.812249051179323e-99,219.13699672535517,Basal_vs_Normal
MIR4785,-2.280945269239529,0.8684596678201302,-26.158353986424345,1.5401695137684538e-100,1.2420721885229466e-98,218.7451835299098,Basal_vs_Normal
MIR4459,-2.2008375936266926,1.033402711926176,-26.151803091186025,1.6670998521798234e-100,1.3230951207776377e-98,218.66619356737476,Basal_vs_Normal
SNORD42A,-2.4799094552040524,1.6325276177050019,-26.06248986782585,4.908353789262948e-100,3.8346513978616784e-98,217.5891090044864,Basal_vs_Normal
DQ600552,-2.396560321059385,1.387143586959983,-26.050969229693774,5.642070958691462e-100,4.3400545836088166e-98,217.4501535659092,Basal_vs_Normal
DQ574292,-2.439605975407225,2.5027028346241944,-26.043781102489163,6.154450809008171e-100,4.5928737380657995e-98,217.36345206313905,Basal_vs_Normal
U7,-2.1865539617366605,1.4294565932728391,-25.954183906935967,1.818875858665903e-99,1.3180259845405094e-97,216.28260165188888,Basal_vs_Normal
MIR4728,-2.153196781461731,2.14068028923549,-25.780811384308656,1.4817656050735782e-98,1.0011929764010664e-96,214.19037752305292,Basal_vs_Normal
SNORD36B,-2.295321568533903,3.4394412707187847,-25.703447585590062,3.779333880849997e-98,2.3919834688924033e-96,213.2564641771985,Basal_vs_Normal
SNORD60,-2.1735308448755557,2.5932757523679264,-25.62018706135952,1.0354534811579985e-97,6.471584257237491e-96,212.2511711020352,Basal_vs_Normal
MIR7161,-2.575532894855452,3.1283658926193105,-25.567850807789444,1.9512596548422555e-97,1.18979247246479e-95,211.61915994805852,Basal_vs_Normal
JA783798,-2.44750799753635,2.26104721189024,-25.48706306410287,5.18992123603866e-97,3.0892388309753925e-95,210.64342491730653,Basal_vs_Normal
SNORD33,-2.2158029318730983,1.634907601034267,-25.448951001454617,8.233977156849599e-97,4.625829863398651e-95,210.18305793839892,Basal_vs_Normal
MIR8086,-2.376280737937805,1.833066697308039,-25.43444729037472,9.815118245633527e-97,5.452843469796404e-95,210.0078537124409,Basal_vs_Normal
SNORD68,-2.2104766149863804,2.6902356453789302,-25.3489907124088,2.76325514432201e-96,1.485621045334414e-94,208.97543815338173,Basal_vs_Normal
MIR3654,-1.933780647511183,1.281995992239814,-25.340394303486683,3.0665120386212963e-96,1.6311234247985617e-94,208.87157391406888,Basal_vs_Normal
MIR6748,-1.99015938841548,1.4091133893948986,-25.266854241664397,7.473973557730785e-96,3.8926945613181173e-94,207.98297380045702,Basal_vs_Normal
SNORD35B,-2.3642867522080415,-0.25427798841549526,-25.19071971401578,1.8800199177367228e-95,9.591938355799607e-94,207.0629007334581,Basal_vs_Normal
SNORD38A,-2.0972586750356066,1.739790607699246,-25.026554026931574,1.3745291047345227e-94,6.423033199694032e-93,205.0785959913243,Basal_vs_Normal
X58752,-2.009586547052613,1.1435298223691353,-24.95007674937719,3.473122406857949e-94,1.6079270402120134e-92,204.1540353656912,Basal_vs_Normal
