,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
JC037706,5.295220153958712,0.27108053133381427,36.56456785688199,2.2389455470124696e-153,1.1194727735062349e-149,340.06389296835954,Basal_vs_Normal
DQ597485,4.290211054726815,-0.7216398747900535,35.27435024012206,4.401241725849767e-147,1.1003104314624418e-143,325.6192268340456,Basal_vs_Normal
DQ584545,4.74396646919932,-0.2840349808513275,33.08343501979216,3.3124616100319652e-136,5.202056811319067e-133,300.6510256361682,Basal_vs_Normal
DQ572382,3.2266632538076085,-0.8958937921709182,33.06367956464185,4.161645449055254e-136,5.202056811319067e-133,300.423474996641,Basal_vs_Normal
DQ590013,3.342008981952631,0.9315665459341489,31.649027508641296,5.783880313898214e-129,5.7838803138982144e-126,284.02335149940603,Basal_vs_Normal
DQ584699,4.445539170181748,-0.6494962528531829,31.283775472891175,4.173919984500151e-127,3.478266653750126e-124,279.7563559313135,Basal_vs_Normal
KF274566,3.66834211419864,2.7202308568012277,31.117037867247614,2.956000115060505e-126,2.1114286536146468e-123,277.8042202328242,Basal_vs_Normal
Histone3,3.486120321425911,1.8754867971622335,30.90736706267717,3.4783488129862433e-125,2.1739680081164021e-122,275.3457206192128,Basal_vs_Normal
SNORD81,2.9340861390724275,-1.2541669684974526,30.881800148328633,4.699475284327352e-125,2.610819602404084e-122,275.0456556718737,Basal_vs_Normal
DQ580854,3.027416569690724,0.31912543798606635,30.792203591465135,1.3495704698764997e-124,6.747852349382499e-122,273.99363455220794,Basal_vs_Normal
DQ141286,2.6591740406562123,-1.5759538165381046,30.54401915539713,2.5172085299242157e-123,1.144185695420098e-120,271.0756938596431,Basal_vs_Normal
DQ586951,3.77382480765361,2.6407929579386535,30.480128934681765,5.3509322290425156e-123,2.2295550954343816e-120,270.3236299290575,Basal_vs_Normal
DQ593048,3.4315916951658907,2.9923349333331832,30.055870287203778,8.075492402236705e-121,3.034148718700944e-118,265.32049833183765,Basal_vs_Normal
septin 9/TNRC6C fusion,2.396510154633696,-1.8786891787248736,30.05158793139233,8.495616412362643e-121,3.034148718700944e-118,265.26991869949046,Basal_vs_Normal
DQ598167,2.20394595633025,3.84886154065886,29.934942457985198,3.3838251753482365e-120,1.1279417251160787e-117,263.8916010001276,Basal_vs_Normal
DQ584698,4.4045645464961405,2.9295566310118013,29.67780156889397,7.149779306204775e-119,2.2343060331889921e-116,260.8491279918766,Basal_vs_Normal
AY006260,4.955029016379291,1.7496130254993825,29.664671707949513,8.356139597856868e-119,2.4576881170167258e-116,260.69363015795403,Basal_vs_Normal
MIR1281,3.111320160645261,-0.47565138794724604,29.609661356722057,1.606089797040094e-118,4.461360547333595e-116,260.041986321597,Basal_vs_Normal
M26316,3.2321769734895667,-0.6523458742505712,29.504627660163177,5.5958573792349955e-118,1.472594047167104e-115,258.79709471267216,Basal_vs_Normal
MIR4519,2.3624601567324457,1.376121687045274,29.476248610405833,7.841539406089161e-118,1.9603848515222905e-115,258.46058569892375,Basal_vs_Normal
DM110804,2.51116522033106,-1.775539485775305,29.351623187656905,3.453258769721607e-117,8.22204468981335e-115,256.98206393286296,Basal_vs_Normal
TRBV4-2,2.1993291105610764,-0.4591583104326434,29.3239531641004,4.8000634950805974e-117,1.0909235216092268e-114,256.6536285068439,Basal_vs_Normal
DQ590589,4.911957066583134,2.794829389892784,29.04441421126544,1.3413160789526185e-115,2.915904519462214e-113,253.33226273513853,Basal_vs_Normal
