,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
JC037706,3.803634796412092,6.017537595563104,47.975227974906076,0.0,0.0,763.7994846426842,Her2_vs_LumA
DQ597485,2.559059927911647,4.472477861160192,47.23992534043993,0.0,0.0,747.157346060692,Her2_vs_LumA
DQ584545,2.054402840816533,3.7644620264577164,45.05814837608351,4.23149485344834e-309,7.052491422413899e-306,697.7285593852097,Her2_vs_LumA
DQ572382,3.045770301238919,4.108262104170565,44.55795401709657,3.605170795357698e-304,3.839311662241499e-301,686.3942559719336,Her2_vs_LumA
DQ590013,2.1516481448319147,3.5649947507620263,44.55518141871453,3.839311662241499e-304,3.839311662241499e-301,686.3314339977347,Her2_vs_LumA
DQ584699,2.075806540891258,4.112741883256804,43.657386692181234,2.6978582776027414e-295,2.248215231335618e-292,665.9939045719802,Her2_vs_LumA
KF274566,1.9873240172054196,6.04125411678267,40.9542948507708,1.0217645728423536e-268,7.298318377445383e-266,604.8928758882683,Her2_vs_LumA
Histone3,-2.330964661542597,0.4641640180814359,-40.80674010242957,2.8588613540005302e-267,1.7867883462503314e-264,601.5666969229658,Her2_vs_LumA
SNORD81,1.793851399238013,6.077575537550864,40.63242243664017,1.461342674433392e-265,8.118570413518844e-263,597.6388494549756,Her2_vs_LumA
DQ580854,2.0815899975506533,1.8881834838709763,39.99200932332231,2.7201924706247385e-259,1.3600962353123693e-256,583.2249334056846,Her2_vs_LumA
DQ141286,-2.4145781153450647,1.7505447156296707,-39.338214529231294,6.646176913620128e-253,3.0209895061909673e-250,568.5394521099374,Her2_vs_LumA
DQ586951,3.1202288227647723,5.051193038889625,39.27430125778603,2.794311407718245e-252,1.164296419882602e-249,567.1056051698395,Her2_vs_LumA
DQ593048,-2.880275456666217,-0.9226670434645201,-38.801609852370255,1.1336382878739981e-247,4.360147261053839e-245,556.5117004167375,Her2_vs_LumA
