,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
Histone3,-2.330964661542597,0.4641640180814359,-40.80674010242957,2.8588613540005302e-267,1.7867883462503314e-264,601.5666969229658,Her2_vs_LumA
DQ141286,-2.4145781153450647,1.7505447156296707,-39.338214529231294,6.646176913620128e-253,3.0209895061909673e-250,568.5394521099374,Her2_vs_LumA
DQ593048,-2.880275456666217,-0.9226670434645201,-38.801609852370255,1.1336382878739981e-247,4.360147261053839e-245,556.5117004167375,Her2_vs_LumA
AY006260,-1.9499262051438995,2.539258593794298,-36.09357489749163,1.838688672910181e-221,5.407907861500532e-219,496.2573776755292,Her2_vs_LumA
M26316,-1.509296487044276,0.2521012915442501,-35.78068152844862,1.8526177184231867e-218,4.875309785324175e-216,489.3532433101928,Her2_vs_LumA
DQ578783,-1.5183702099039211,1.7698393213825176,-34.99717748329656,5.7669004347353225e-211,1.1533800869470644e-208,472.12762522611024,Her2_vs_LumA
DQ576791,-2.1555007822636147,0.2921965986053095,-34.64201252686466,1.3930158756298716e-207,2.5796590289442066e-205,464.350675421422,Her2_vs_LumA
MIR1268A,-1.7071971330488527,0.4831197788047678,-34.51967524812667,2.0284376067480026e-206,3.622210012050005e-204,461.6766843320782,Her2_vs_LumA
DQ582265,-2.9562135458752916,0.08848232205572834,-34.50103645265193,3.049911856028969e-206,5.258468717291326e-204,461.26950637625805,Her2_vs_LumA
AY006263,-1.4279476955416783,0.8021894393820135,-34.45564138621105,8.233281823421694e-206,1.372213637236949e-203,460.27806372793765,Her2_vs_LumA
SNORD44,-1.498788188431616,-0.30039963263818675,-34.12634300553314,1.0953491635039123e-202,1.659619944702897e-200,453.0966662947611,Her2_vs_LumA
SNORD95,-1.5649360472340434,-0.4500819021191659,-33.962076402133796,3.933961499707486e-201,5.3161641887939e-199,449.521417778659,Her2_vs_LumA
DQ598345,-1.8320953951040988,5.902326561099881,-33.79934207503355,1.3599519198718625e-199,1.6999398998398282e-197,445.98430627326866,Her2_vs_LumA
TRNA_Pseudo,-1.444845937610645,1.8007159068417198,-33.711062496361734,9.27577235170106e-199,1.104258613297745e-196,444.06753181380896,Her2_vs_LumA
SNORD34,-1.479607962024542,0.17626242040773826,-33.46625727853412,1.889343600007458e-196,2.146981363644839e-194,438.7597869720414,Her2_vs_LumA
DM110819,-1.7205922104487352,1.2331810560278074,-32.986096281205235,6.174370327522581e-192,6.568479071832533e-190,428.38264207858094,Her2_vs_LumA
MIR4664,-1.6479374744961244,0.5685685331878707,-32.6598002308458,7.028897721364994e-189,7.172344613637749e-187,421.3571078065066,Her2_vs_LumA
TCRVB,-3.619324628462959,3.2073620311754047,-32.59727199992228,2.7007097773754818e-188,2.7007097773754817e-186,420.0133114557951,Her2_vs_LumA
MIR3064,-2.221510405008133,3.644461215075155,-32.558884108090076,6.168776063959548e-188,6.047819670548576e-186,419.18872199709637,Her2_vs_LumA
JC037840,-2.341627173584919,-1.2763647008889722,-32.49943236331855,2.2155847209890257e-187,2.1303699240279096e-185,417.9122845309399,Her2_vs_LumA
SNORD52,-1.8180842057534718,0.9539917319543348,-32.2951323484074,1.7831806062630768e-185,1.621073278420979e-183,413.53167585995,Her2_vs_LumA
SNORD87,-3.7519905993742775,-0.23347022833425085,-32.29168074039979,1.9202528751234616e-185,1.714511495645948e-183,413.45774348824494,Her2_vs_LumA
SNORD78,-2.0910808001240944,6.3587132789885805,-31.803667999233628,6.596905633231807e-181,5.786759327396323e-179,403.03110106267917,Her2_vs_LumA
MIR3929,-1.4821977984338404,0.3913784632567227,-31.715370920254372,4.340729244664866e-180,3.742007969538678e-178,401.15031205117083,Her2_vs_LumA
