,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
JC037706,3.803634796412092,6.017537595563104,47.975227974906076,0.0,0.0,763.7994846426842,Her2_vs_LumA
DQ597485,2.559059927911647,4.472477861160192,47.23992534043993,0.0,0.0,747.157346060692,Her2_vs_LumA
DQ584545,2.054402840816533,3.7644620264577164,45.05814837608351,4.23149485344834e-309,7.052491422413899e-306,697.7285593852097,Her2_vs_LumA
DQ572382,3.045770301238919,4.108262104170565,44.55795401709657,3.605170795357698e-304,3.839311662241499e-301,686.3942559719336,Her2_vs_LumA
DQ590013,2.1516481448319147,3.5649947507620263,44.55518141871453,3.839311662241499e-304,3.839311662241499e-301,686.3314339977347,Her2_vs_LumA
DQ584699,2.075806540891258,4.112741883256804,43.657386692181234,2.6978582776027414e-295,2.248215231335618e-292,665.9939045719802,Her2_vs_LumA
KF274566,1.9873240172054196,6.04125411678267,40.9542948507708,1.0217645728423536e-268,7.298318377445383e-266,604.8928758882683,Her2_vs_LumA
SNORD81,1.793851399238013,6.077575537550864,40.63242243664017,1.461342674433392e-265,8.118570413518844e-263,597.6388494549756,Her2_vs_LumA
DQ580854,2.0815899975506533,1.8881834838709763,39.99200932332231,2.7201924706247385e-259,1.3600962353123693e-256,583.2249334056846,Her2_vs_LumA
DQ586951,3.1202288227647723,5.051193038889625,39.27430125778603,2.794311407718245e-252,1.164296419882602e-249,567.1056051698395,Her2_vs_LumA
septin 9/TNRC6C fusion,2.233258546657651,6.138865182118083,36.57288343694516,4.49475469412032e-226,1.6052695336144003e-223,506.85935193836883,Her2_vs_LumA
DQ598167,3.7079808237324965,6.045443081349451,36.356019362025854,5.5075619831845265e-224,1.835853994394842e-221,502.058702534655,Her2_vs_LumA
DQ584698,2.3184651619594074,1.3609134055187864,36.163677506596514,3.8978719781824245e-222,1.2180849931820076e-219,497.80608368833305,Her2_vs_LumA
