,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
DQ590013,-4.38677913887751,-0.2647822835377478,-29.94341318821339,4.139008464974323e-145,4.139008464974323e-142,320.89916511579554,Her2_vs_LumB
DQ580854,-2.890198676413847,-0.5178176604039534,-29.004584737264278,2.4246000997147986e-138,1.2123000498573993e-135,305.3610510775057,Her2_vs_LumB
DQ598167,-2.2246572386454377,2.7025965315318548,-27.71235896076823,4.453466654166516e-129,1.484488884722172e-126,284.0917576614505,Her2_vs_LumB
DQ584698,-3.2484569163804586,-0.6318968929530209,-27.694619254228737,5.961812518222486e-129,1.8630664119445267e-126,283.8009162618598,Her2_vs_LumB
MIR1281,-4.071250486357338,0.7693511095046697,-27.242418738927498,9.985819635780485e-126,2.7738387877168014e-123,276.3990475329253,Her2_vs_LumB
DQ578783,-2.663623911827378,-1.6559171637651129,-25.264451729162044,9.182397274881198e-112,1.8364794549762396e-109,244.34189316380343,Her2_vs_LumB
SNORD48,-2.2200629516998416,-1.3591549270911853,-25.150547852809016,5.741828600147104e-111,1.104197807720597e-108,242.51433087393454,Her2_vs_LumB
DQ576791,-2.3153379685544233,0.4903298366227019,-24.858005472508445,6.296732944502435e-109,1.1660616563893397e-106,237.83108868011797,Her2_vs_LumB
SNORD44,-2.277305657734423,0.05818372083098165,-24.42603031502315,6.294514890723911e-106,9.537143773824106e-104,230.94469693507068,Her2_vs_LumB
MIR6727,-1.9457650503412405,-0.7962322936117355,-24.385293061555856,1.205195781940498e-105,1.7217082599149972e-103,230.29713468348598,Her2_vs_LumB
DQ578106,-3.1513128371059684,0.2707823800739715,-24.35835836846415,1.8513800881338147e-105,2.571361233519187e-103,229.8691591234874,Her2_vs_LumB
DQ598345,-3.5976181615103697,0.6952612443514135,-23.827844894514467,8.444666276747154e-102,1.0555832845933943e-99,221.46976062177512,Her2_vs_LumB
JC037707,-2.247784344653354,6.549794628248712,-23.821298907981813,9.366392552035651e-102,1.1422429941506892e-99,221.36648902119217,Her2_vs_LumB
DQ580250,-3.4533659845223372,3.83883092037299,-23.7512060564042,2.8383248979884967e-101,3.3003777883587167e-99,220.26126099282334,Her2_vs_LumB
SNORD34,-2.3314929323732128,-1.7945479732614211,-23.732203413133217,3.832814269940934e-101,4.3554707612965164e-99,219.9618097149421,Her2_vs_LumB
JC037840,-1.7085434982375214,-1.408330174649559,-23.242740609398318,8.545598973757036e-98,8.216922090150997e-96,212.2763809500009,Her2_vs_LumB
SNORD79,-4.719151860327598,5.997065446837795,-23.09665831132791,8.441482919509614e-97,7.816187888434828e-95,209.9932942328029,Her2_vs_LumB
SNORD52,-1.5620767789698335,-2.082515283100626,-23.070580612884097,1.269848988206805e-96,1.1544081710970954e-94,209.58626333894182,Her2_vs_LumB
SNORD87,-2.6882698175142368,-1.2729206697332331,-23.018619970575177,2.863416194431127e-96,2.556621602170649e-94,208.77572627783283,Her2_vs_LumB
SNORD78,-1.7910361427518562,-1.0622885652506742,-22.932243203165697,1.1048185746335759e-95,9.691391005557684e-94,207.42976970811856,Her2_vs_LumB
FJ840426,-1.8181722931065714,1.4435269357116889,-22.669943174712994,6.594382812789288e-94,5.588460010838379e-92,203.35372641682164,Her2_vs_LumB
MIR631,-2.135570609374882,-0.7999330434991093,-22.609240406284663,1.6947198580434838e-93,1.4122665483695698e-91,202.41287738890037,Her2_vs_LumB
SNORD42A,-2.609347285497234,1.322802966933296,-22.101677059458712,4.370094596536159e-90,3.414136403543874e-88,194.58336941636384,Her2_vs_LumB
DQ600552,-3.193319466217042,5.17666478709587,-22.096824402298985,4.709375311346126e-90,3.6225963933431737e-88,194.50884395759613,Her2_vs_LumB
Mir_324,-2.671563816330621,0.7068199622702173,-21.835940074036557,2.5978056651424016e-88,1.8040317119044454e-86,190.51177781616894,Her2_vs_LumB
HW321074,-2.6797804408567636,-0.5283591099908683,-21.67544577951843,3.0336833972323523e-87,2.0778653405701043e-85,188.062249046739,Her2_vs_LumB
MIR6777,-2.189486993271077,-2.2786091756334668,-21.551365552922043,2.0182857570689424e-86,1.3455238380459616e-84,186.17352658230024,Her2_vs_LumB
SNORD4B,-1.947945130821324,1.010250148141309,-21.535890404320075,2.5555999544783174e-86,1.6813157595252087e-84,185.93827924780854,Her2_vs_LumB
SNORD36B,-2.072652325783584,4.064378276067467,-21.351536064783314,4.2301626059442384e-85,2.677318105027999e-83,183.14118743601043,Her2_vs_LumB
DQ571986,-3.353290334241515,0.7702305393385129,-21.263174015076512,1.6181613919901561e-84,9.98865056784047e-83,181.80409453783358,Her2_vs_LumB
JA611306,-1.9589613620611834,1.9842008476146384,-21.200034932909624,4.2144790457415355e-84,2.5388427986394793e-82,180.85011071030164,Her2_vs_LumB
JA783798,-2.3342450870093154,-0.42452741581358955,-21.178833560327934,5.810609528917194e-84,3.4586961481649966e-82,180.53004418616126,Her2_vs_LumB
SNORD65,-3.503554361706799,0.47369621100597636,-21.177389757468067,5.93906277727559e-84,3.493566339573876e-82,180.508252773235,Her2_vs_LumB
SNORD35A,-1.8843772902769118,2.543275517808019,-21.135193727212723,1.1249413147210095e-83,6.540356480936101e-82,179.87166517748764,Her2_vs_LumB
DQ590691,-1.6240793766839376,-1.9521243327977744,-21.083301252786605,2.46585515755737e-83,1.4010540667939603e-81,179.0895377723505,Her2_vs_LumB
SNORD68,-2.4511644019108254,-1.6496907585171579,-20.91893905855337,2.9454681547881955e-82,1.583585029456019e-80,176.61773629111408,Her2_vs_LumB
JA611308,-1.552577707216233,-1.000921046726626,-20.78644894659004,2.161735818424475e-81,1.1377556939076184e-79,174.6313954505642,Her2_vs_LumB
MIR6821,-2.5481906563322054,-0.8681055007441003,-20.640934512719962,1.917643220654343e-80,9.884758869352283e-79,172.45621764698126,Her2_vs_LumB
D28390,-3.1181478303544474,-0.3102873817936131,-20.57549228117576,5.106639733793383e-80,2.579110976663325e-78,171.48019730176614,Her2_vs_LumB
SNORD54,-1.3706831278012352,0.9260904531923589,-20.47701444732245,2.2237882370386262e-79,1.100885265860706e-77,170.01410609417604,Her2_vs_LumB
MIR8075,-1.1779532355227649,-2.540543274052124,-20.470803636393015,2.4397494230164022e-79,1.1959555995178444e-77,169.92174909076624,Her2_vs_LumB
SNORD38A,-1.5429971719810627,-1.8640790469441209,-20.196065828997774,1.453283875320479e-77,6.791046146357379e-76,165.84913435264556,Her2_vs_LumB
X58752,-1.2821189677708242,0.469625663557971,-20.172930824361895,2.0479448496311254e-77,9.481226155699655e-76,165.50734833372422,Her2_vs_LumB
IGHV1-18,-1.8167241024445797,3.016468393473458,-20.096797056449546,6.3239934689064156e-77,2.8745424858665523e-75,164.3838714329398,Her2_vs_LumB
AF343406,-3.2710868946005136,1.324169720944848,-20.083570948168383,7.690789319583024e-77,3.4643195133256863e-75,164.18890117205575,Her2_vs_LumB
MIR6891,-1.5592824337921767,-1.863398764962414,-20.062982802310575,1.0427993382163839e-76,4.614156363789309e-75,163.88552445662884,Her2_vs_LumB
SNORD77,-2.778003426470358,0.47589676671394543,-20.023962244432667,1.85627208159728e-76,8.07074818085774e-75,163.3109377703995,Her2_vs_LumB
SNORD32A,-1.8106713205436988,-0.6597521837603906,-19.99095140761954,3.022270131283272e-76,1.2806229369844372e-74,162.82525685023344,Her2_vs_LumB
MIR4767,-1.4183947075721322,1.4430104988996109,-19.972587943404616,3.9629956704133244e-76,1.6651242312661026e-74,162.55524308463333,Her2_vs_LumB
MIR8078,-2.836207878959381,-1.254536238102057,-19.896182278952708,1.2222418879381974e-75,5.050586313794205e-74,161.4330473293542,Her2_vs_LumB
MIR6739,-1.3515163854278642,-0.8658273338062629,-19.849008058470357,2.4474587313210663e-75,1.0030568570987977e-73,160.7412051514988,Her2_vs_LumB
AB306139,-1.8172522252412702,2.825539451512859,-19.72784051945568,1.4511508224551806e-74,5.75853500974278e-73,158.96780612599463,Her2_vs_LumB
DQ576653,-2.594116716438426,-0.5306705893225319,-19.699532071647628,2.197772582338338e-74,8.585049149759132e-73,158.5542390939186,Her2_vs_LumB
SNORD50A,-1.4173032620569577,-1.9838377023548972,-19.671039738388156,3.336557539008095e-74,1.2932393562046878e-72,158.13827556513615,Her2_vs_LumB
AY006094,-2.575110022687564,6.593971620918022,-19.618475580784906,7.202254430896978e-74,2.770097858037299e-72,157.37165043037507,Her2_vs_LumB
SNORD58C,-1.4180117254062818,1.2066567100669212,-19.575396833162213,1.3521171462483596e-73,5.160752466596792e-72,156.74411013368083,Her2_vs_LumB
HTJA99,-1.5832773918787826,1.078955783372803,-19.56863683139354,1.49249633255069e-73,5.653395199055644e-72,156.64569635973635,Her2_vs_LumB
JA611303,-1.4004751675536953,1.0352169268603089,-19.138734004799346,7.711076528419208e-71,2.658991906351451e-69,150.42167957563626,Her2_vs_LumB
HV975509,-1.7180733018751164,-2.5839028509145137,-19.075846647760915,1.912038674929946e-70,6.548077653869679e-69,149.51702801823836,Her2_vs_LumB
MIR5588,-1.584585669961392,-1.944225103578249,-19.060333282756886,2.3915768579553316e-70,8.134615163113372e-69,149.29409631046468,Her2_vs_LumB
MIR1273D,-1.9996898508078131,1.2919336727622153,-18.913280113903387,1.9858709699019686e-69,6.532470295730159e-68,147.18549786575744,Her2_vs_LumB
MIR619,-1.916710628683657,-0.9089798040145277,-18.910086348184148,2.0791027147444787e-69,6.7944533161584264e-68,147.1397952422108,Her2_vs_LumB
