,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
JC037706,4.239461852418998,5.773689195396348,43.8258133504993,6.362023853273387e-245,3.1810119266366936e-241,549.9953524624057,Her2_vs_LumB
DQ597485,2.6721231367850877,4.184488771520881,36.003090332055486,4.605954290038063e-189,1.1514885725095157e-185,421.8051280857857,Her2_vs_LumB
DQ584545,2.0541896005625264,5.8032037937184215,32.963452443463275,5.311798092096176e-167,8.852996820160294e-164,371.15914812242175,Her2_vs_LumB
DQ572382,2.5855962449273697,7.4993973858789795,30.51671710871393,2.9677030079281748e-149,3.7096287599102182e-146,330.4144650103777,Her2_vs_LumB
DQ584699,1.9946001698940017,7.299683686163235,29.766819770992054,7.795982379268781e-144,6.496651982723985e-141,317.9719438255691,Her2_vs_LumB
KF274566,2.0999108963595305,3.2218717263877164,29.73129034679479,1.4069720900016483e-143,1.0049800642868917e-140,317.3832397196971,Her2_vs_LumB
Histone3,1.86430539489746,3.3400612713229556,29.227193440549215,6.0586113255271275e-140,3.786632078454455e-137,309.0397083220871,Her2_vs_LumB
SNORD81,1.9547602673066868,2.3158400164380515,29.166339923610863,1.6616542206894434e-139,9.231412337163573e-137,308.0337158229928,Her2_vs_LumB
DQ141286,1.9374994960162857,3.720908136282389,28.719692323286957,2.7083694518588262e-136,1.2310770235721938e-133,300.6588814089413,Her2_vs_LumB
DQ586951,2.364216166594313,2.1460823502786424,28.68578150496528,4.745631264543587e-136,1.9773463602264945e-133,300.09963138281756,Her2_vs_LumB
DQ593048,1.859824537093701,1.4381127041670898,28.118148625584276,5.584752954449103e-132,2.1479819055573475e-129,290.753702984667,Her2_vs_LumB
septin 9/TNRC6C fusion,1.9954237194509705,3.400007522868941,27.973132379233324,6.092893873872486e-131,2.1760335263830307e-128,288.3709872285208,Her2_vs_LumB
AY006260,2.3366983916384667,5.890822787256031,27.50989726437095,1.2404885461414481e-127,3.648495723945436e-125,280.774469954669,Her2_vs_LumB
M26316,2.291443820731143,1.414704803657685,27.14263086763037,5.12191954914013e-125,1.347873565563192e-122,274.7688842713082,Her2_vs_LumB
MIR4519,2.0182560160039493,2.267652384660525,27.01258363093837,4.305267540732574e-124,1.0763168851831435e-121,272.6462264454095,Her2_vs_LumB
DM110804,3.359295371310335,2.702225149249552,26.5788071873219,5.141921037509738e-121,1.2242669136927946e-118,265.58170202420257,Her2_vs_LumB
TRBV4-2,2.007488808129142,-0.18478462235607454,26.425534433463316,6.24875008493805e-120,1.4201704738495568e-117,263.0915249190158,Her2_vs_LumB
DQ590589,3.8174897526589375,5.498666739178113,25.9700131947005,1.0251151698840115e-116,2.228511238878286e-114,255.71067049357072,Her2_vs_LumB
DQ585302,1.6849677538249483,3.8130896811837096,25.456986834990147,4.1219412487182033e-113,8.587377601496258e-111,247.43613574745225,Her2_vs_LumB
MIR1268A,2.3321361341994273,3.0085906805485676,24.851997006318843,6.933385376037501e-109,1.2381045314352683e-106,237.73506304253232,Her2_vs_LumB
DQ582265,1.670166165822598,3.0682014909193933,24.74797031225256,3.670330516547782e-108,6.328156063013417e-106,236.07359642571672,Her2_vs_LumB
AY006263,1.4480620729766864,2.581697425895816,24.70568241181391,7.2222221722404e-108,1.2037036953733998e-105,235.3987705675377,Her2_vs_LumB
MIR6087,3.2542582400506137,1.2196243138456846,24.572622586711663,6.062948877188843e-107,9.77894980191749e-105,233.27762389093792,Her2_vs_LumB
MIR320E,1.7347224797432086,2.5082691007841342,24.471212344588505,3.0614181714436614e-106,4.783465892880721e-104,231.6632953039544,Her2_vs_LumB
MIR6759,1.5269031840957241,5.637550135352667,24.396907177887538,1.001491334903216e-105,1.4727813748576706e-103,230.48172011719097,Her2_vs_LumB
SNORD95,3.36821798122806,3.5628923982434824,24.16453858470873,4.047912379566112e-104,5.470151864278529e-102,226.79376956013033,Her2_vs_LumB
MIR5096,2.857642398646914,0.8109694924445396,24.00016626478523,5.505713548055865e-103,7.244359931652453e-101,224.19164356574686,Her2_vs_LumB
TRNA_Val,2.5357415432971,2.9371152330352905,23.86401805311822,4.763174155395133e-102,6.106633532557862e-100,222.04060586119616,Her2_vs_LumB
TRNA_Pseudo,1.5863171113410688,5.286569576831754,23.78605013117122,1.6359300327434452e-101,1.947535753266006e-99,220.8105515701641,Her2_vs_LumB
M37726,2.0966136797828887,0.8769270724502792,23.468940440849593,2.4395369993613613e-99,2.710596665957068e-97,215.82139532982453,Her2_vs_LumB
DQ582231,2.4551341859075917,4.1477076735370915,23.463206030806862,2.6700725396220905e-99,2.902252760458794e-97,215.73138089140332,Her2_vs_LumB
DM110819,1.750485110684413,2.3923677436008894,23.410107280092383,6.1587661600555344e-99,6.5518788936761e-97,214.89823107974954,Her2_vs_LumB
DD181999,2.5609331719715605,3.0733926771258178,23.35635972449585,1.434220831798037e-98,1.4939800331229554e-96,214.05555583356767,Her2_vs_LumB
MIR4664,2.84490427627422,0.9972351185627333,23.347446105620566,1.6499573780459567e-98,1.683629977597915e-96,213.91586864020192,Her2_vs_LumB
TCRVB,1.7731455763563708,3.0186776008989105,23.32102152354092,2.499406943541902e-98,2.499406943541902e-96,213.5018709354063,Her2_vs_LumB
MIR3064,1.7403529604668435,4.763607914173692,23.278845365168078,4.8480923061174577e-98,4.753031672664174e-96,212.84142521802488,Her2_vs_LumB
SNORD4A,2.3666359788677815,0.06780093070122022,23.14793209992502,3.780446407540304e-97,3.566458875038023e-95,210.79406706516406,Her2_vs_LumB
MIR3929,1.8979980175246578,8.918576118399603,22.797281966144027,9.077317091737209e-95,7.82527335494587e-93,205.33039426954642,Her2_vs_LumB
DQ590318,1.4732917884199448,-0.8813210391269819,22.60722498834702,1.7486425324927423e-93,1.4333135512235592e-91,202.38165588289536,Her2_vs_LumB
