,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
JC037706,4.798013430678683,0.6101914837969824,35.28326929071941,6.323232334331048e-146,3.161616167165524e-142,322.94152309317974,Her2_vs_Normal
DQ597485,2.380797033400443,-1.4303786725178216,31.535524225742567,1.9472991861237395e-127,4.868247965309349e-124,280.5101112532207,Her2_vs_Normal
DQ584545,2.54818804690963,-0.801863061287949,31.412815986538874,8.048050776732193e-127,1.3413417961220322e-123,279.09550786758484,Her2_vs_Normal
DQ572382,3.223920061402488,1.713987521281333,31.17498538789798,1.264530753478951e-125,1.5806634418486887e-122,276.3495307067545,Her2_vs_Normal
DQ590013,4.144399335627608,1.8551217218047196,31.15478997843632,1.598150664769783e-125,1.598150664769783e-122,276.1161015643712,Her2_vs_Normal
DQ584699,3.0533586001198634,2.6141111859113946,30.591026687873054,1.1196192422429498e-122,9.330160352024582e-120,269.58410305440253,Her2_vs_Normal
KF274566,3.2256705807560158,-1.4639918090553523,30.375957740205283,1.3738911277674385e-121,9.813508055481705e-119,267.0843949339789,Her2_vs_Normal
Histone3,2.2120711602158942,-0.5630773306154996,30.200536910690772,1.0652240041870718e-120,6.657650026169199e-118,265.0423960844774,Her2_vs_Normal
SNORD81,2.8109463872004743,-1.8288440019644263,29.84942546887446,6.476298439540316e-119,3.5979435775223976e-116,260.9470488460809,Her2_vs_Normal
DQ580854,4.367080276606637,1.7216380976904833,29.71441153947798,3.1515155780464076e-118,1.5757577890232038e-115,259.3694021550442,Her2_vs_Normal
DQ141286,1.8178445211482077,1.6534778724501538,29.472656252762228,5.3785635342060336e-117,2.444801606457288e-114,256.5406206475022,Her2_vs_Normal
DQ586951,2.130545660350206,1.0017046795576963,29.236037710383577,8.682651661400273e-116,3.6177715255834475e-113,253.76726362135472,Her2_vs_Normal
DQ593048,3.437036768995896,1.4486514299531479,29.08986910747726,4.851173178022712e-115,1.8658358377010433e-112,252.05179500804607,Her2_vs_Normal
septin 9/TNRC6C fusion,2.123141722103809,0.008767792416314977,28.70234614693179,4.68053781631326e-113,1.6716206486833073e-110,247.49566479618446,Her2_vs_Normal
DQ598167,2.9349322808058202,2.163726776025612,28.58990246034658,1.7661315332002318e-112,5.887105110667439e-110,246.1715277035663,Her2_vs_Normal
DQ584698,2.20846678059681,-1.7448515866702077,28.477820489653684,6.641936140688989e-112,2.075605043965309e-109,244.85072453165876,Her2_vs_Normal
AY006260,2.452733054827111,-0.43664368935430026,28.420761739063543,1.3040834719871156e-111,3.8355396234915163e-109,244.177979385936,Her2_vs_Normal
MIR1281,1.9814802260239741,-0.8907493487042096,28.391746392385375,1.8379979417285103e-111,5.10554983813475e-109,243.83578738801458,Her2_vs_Normal
M26316,4.050155453137384,3.8174165227473136,28.125144032637092,4.314869385076443e-110,1.1354919434411691e-107,240.6888415823199,Her2_vs_Normal
MIR4519,2.1470955926154525,-1.8124403888220606,27.755501856959334,3.457563389413722e-108,8.643908473534305e-106,236.31764964474158,Her2_vs_Normal
DM110804,2.8791214004023504,2.9254239622509486,27.657414820547537,1.1081528536703116e-107,2.638459175405504e-105,235.1562367121169,Her2_vs_Normal
TRBV4-2,2.141687514881274,-0.4078861041400448,27.506007452709234,6.697419554116399e-107,1.522140807753727e-104,233.36230087419466,Her2_vs_Normal
DQ590589,2.71455422318432,-0.7070664262583963,27.381247342638545,2.952290925755198e-106,6.418023751641735e-104,231.88304730548492,Her2_vs_Normal
DQ585302,2.2016245967499715,-1.1622880653436454,27.1608183408937,4.068175540817996e-105,8.475365710037492e-103,229.26724281278692,Her2_vs_Normal
DQ578783,4.122873907120056,-1.209059981997065,26.93340138903401,6.109243367914389e-104,1.2218486735828778e-101,226.5656650750457,Her2_vs_Normal
SNORD48,2.6044225591353714,-1.5196449642352579,26.817889487538363,2.4214113951888515e-103,4.656560375363176e-101,225.19239622071962,Her2_vs_Normal
DQ576791,2.750685971257158,-1.5471121137216455,26.747696615918088,5.593043415112577e-103,1.0357487805764032e-100,224.3575699135202,Her2_vs_Normal
MIR1268A,4.864351886342614,4.284054567059315,26.72912219385201,6.980339222948807e-103,1.2464891469551442e-100,224.13661680031498,Her2_vs_Normal
DQ582265,2.037765508864504,-1.0901984061577485,26.442581367666026,2.1343971321120827e-101,3.67999505536566e-99,220.72592976581078,Her2_vs_Normal
AY006263,2.9739239336163092,-0.2992852684465945,26.356563623604387,5.96356801156673e-101,9.939280019277883e-99,219.70131548417692,Her2_vs_Normal
MIR6087,2.624742068667893,2.442231869986053,26.250173396722595,2.126271994377664e-100,3.4294709586736515e-98,218.43357817503568,Her2_vs_Normal
MIR320E,3.591982869191777,2.3159090082826026,26.156081080414165,6.547661066664451e-100,1.0230720416663205e-97,217.311978266552,Her2_vs_Normal
SNORD44,1.7933118015230594,2.8567781595393504,26.085833013568703,1.5166064490424018e-99,2.297888559155154e-97,216.4743679214676,Her2_vs_Normal
MIR6759,2.979977666899257,3.6036173582306006,26.06164009478979,2.025455755468312e-99,2.978611405100459e-97,216.1858549264145,Her2_vs_Normal
MIR6727,2.529741646817825,1.4895091453745861,25.867082599142552,2.076573152578129e-98,2.966533075111613e-96,213.86483000219312,Her2_vs_Normal
DQ578106,2.5895103998863953,-0.6688491199451566,25.834983201322704,3.0491514229418805e-98,4.234932531863723e-96,213.48175534158995,Her2_vs_Normal
