,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
DQ574292,-2.0188632788294623,3.366552013061037,-23.90769862175251,3.323164508812439e-88,2.4799735140391336e-86,190.43421870852708,Her2_vs_Normal
DQ577523,-2.1428151304393954,2.9152087782845375,-23.034079919499774,1.1891125553958932e-83,6.533585469208204e-82,179.97850293887225,Her2_vs_Normal
IGHV1-18,-1.6842897770065182,2.0243262954794456,-22.64321109174742,1.2911361211549164e-81,5.8688005507041655e-80,175.3043382944552,Her2_vs_Normal
SNORD50B,-1.6483901730322892,3.339208663626052,-21.8226320040674,2.3874822107827127e-77,8.724266394620341e-76,165.5075778130197,Her2_vs_Normal
DQ597999,-1.6781042156195234,0.948498283975953,-21.424085005691296,2.7898616229615947e-75,9.425208185681063e-74,160.76059515889116,Her2_vs_Normal
JC221905,-1.7572967881807586,1.9726481973327603,-21.39488112566433,3.953100772365436e-75,1.3265438833441062e-73,160.41311414889273,Her2_vs_Normal
DQ594020,-1.740579698880423,2.6937049234712136,-21.23010587745021,2.8215663507041482e-74,8.985880097783912e-73,158.4535490017378,Her2_vs_Normal
MIR4461,-1.5389354626746248,1.018526357340385,-21.069980785766727,1.9020278239034613e-73,5.906918707774725e-72,156.55100986832474,Her2_vs_Normal
DQ591798,-1.602663170284595,1.1147591602896747,-21.04520640153688,2.55486702387555e-73,7.885392048998611e-72,156.25681063739438,Her2_vs_Normal
MIR939,-1.5271568669541675,2.4316651387225514,-21.04282229669706,2.6284496590642268e-73,8.062729015534438e-72,156.22850137865984,Her2_vs_Normal
DQ576856,-1.630159440470103,1.2613810429701595,-20.991815602163708,4.8248155465607194e-73,1.470980349561195e-71,155.62293779646185,Her2_vs_Normal
L07266,-1.480160977675497,0.3636109018126155,-20.894636360864588,1.533966205538696e-72,4.592713190235617e-71,154.46973392961888,Her2_vs_Normal
MIR940,-1.424734207853155,1.6809197187034846,-20.885524153483836,1.7096320255094755e-72,5.088190552111534e-71,154.36163792442002,Her2_vs_Normal
Y_RNA,-1.535833092555391,1.8607650390042036,-20.879681641182607,1.832703000576852e-72,5.422198226558734e-71,154.2923328940691,Her2_vs_Normal
SNORD71,-1.5352485540090735,2.749449886865977,-20.758582525770944,7.737129547131672e-72,2.236164608997593e-70,152.8564294149225,Her2_vs_Normal
MIR3916,-1.49747537015964,2.165179790721083,-20.735244509853516,1.0210937028810084e-71,2.934177307129335e-70,152.57983822474276,Her2_vs_Normal
MIR1469,-1.847789354218913,1.7389235971871362,-20.57682479201505,6.705351208278803e-71,1.862597557855223e-69,150.7035084692586,Her2_vs_Normal
MIR25,-1.5437757064183155,2.9645167473837124,-20.566246647353672,7.602675959724795e-71,2.1001867292057445e-69,150.5782958903189,Her2_vs_Normal
L13714,-1.9067146646071627,4.203099756328098,-20.45595841648904,2.814529060784478e-70,7.458263261433472e-69,149.27340519201067,Her2_vs_Normal
MIR7111,-1.5494541190456674,0.2416763525095665,-20.19509926574612,6.194624748912824e-69,1.56429917901839e-67,146.1914304565399,Her2_vs_Normal
5S_rRNA,-1.5165566965941342,1.5300582795110504,-20.15167970170424,1.0356654952947942e-68,2.6021746112934527e-67,145.67907271233236,Her2_vs_Normal
DQ571149,-1.600809080831364,3.038455029169923,-20.14506729956542,1.1199651246436413e-68,2.785982897123486e-67,145.60106168776764,Her2_vs_Normal
MIR4653,-1.5103280654240963,1.8724700770565563,-20.068715724498354,2.7636540760449563e-68,6.611612622117121e-67,144.70060776576426,Her2_vs_Normal
DQ593032,-1.5935634964107765,3.4188935051046827,-20.035111215805014,4.112032691407151e-68,9.744153297173344e-67,144.3044799745545,Her2_vs_Normal
SNORD58A,-1.5838545585556534,2.5053447129829016,-19.94023886791185,1.2618093945026738e-67,2.9619938838090936e-66,143.1867636180653,Her2_vs_Normal
DQ595000,-1.4821760942968012,2.4191187788158244,-19.91290575406517,1.742636709972188e-67,4.0526435115632276e-66,142.86492120507586,Her2_vs_Normal
SNORD28,-1.5568719267097901,1.3263734134572547,-19.885873990353673,2.397951292205632e-67,5.550813176401926e-66,142.54670589637203,Her2_vs_Normal
TRNA_Ile,-1.596791548241652,1.7246676043642108,-19.88332727718146,2.4711524557368973e-67,5.667780861781875e-66,142.5167302960773,Her2_vs_Normal
TRB@,-1.4461384268552797,1.3274529082402664,-19.517112387972006,1.8516114469291397e-65,4.042819753120392e-64,138.21384767577766,Her2_vs_Normal
TRNA_Met,-1.3741661993303975,0.7414333200307729,-19.509096818937262,2.0347290870475806e-65,4.4041755130900016e-64,138.11984261191378,Her2_vs_Normal
MIR205,-1.5218658106999696,3.405233020178943,-19.031974773687626,5.49749414732044e-63,1.1405589517262324e-61,132.5388708737988,Her2_vs_Normal
