,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
DQ598345,-2.6317580009590045,3.1468082148024283,-38.0850850676584,2.959447923301582e-250,3.6993099041269776e-248,562.4201599755876,LumA_vs_LumB
DQ582231,-1.9290821783147547,4.541270445400446,-37.06818061773386,1.1209345899752392e-239,1.2184071630165644e-237,538.095151215884,LumA_vs_LumB
MIR4785,-2.395484191635595,1.5931198310433679,-35.25356828795109,5.19253401616908e-221,4.187527432394419e-219,495.17430053249313,LumA_vs_LumB
TLS/FUS-ERG,-1.8489512731747328,5.2580022649322125,-34.34690245071015,8.453424599353935e-212,6.215753381877894e-210,473.99340676142896,LumA_vs_LumB
SNORD36A,-2.388348279965911,2.0758229075794725,-34.031814643384386,1.2841997932648474e-208,9.172855666177481e-207,466.6779016021624,LumA_vs_LumB
Mir_548,-3.1489141907572793,4.002433872401134,-33.85175212236983,8.35724654324672e-207,5.885384889610365e-205,462.50828386389554,LumA_vs_LumB
MIR4728,-1.3316486120163387,0.6955468702388902,-33.58797634875981,3.734215640156303e-204,2.5231186757812856e-202,456.41487572618644,LumA_vs_LumB
SNORD4B,-2.5252951510122426,1.7619496582188396,-33.217328144492456,1.9184542496083502e-200,1.262140953689704e-198,447.8829077274029,LumA_vs_LumB
MIR1204,-1.3039732724628246,2.430661433859893,-33.09746192945153,3.0174564808451116e-199,1.9593873252240984e-197,445.1314367610403,LumA_vs_LumB
SNORD36C,-1.868529961107395,5.286085745848241,-33.080202631560844,4.48552223439102e-199,2.875334765635269e-197,444.73557382073585,LumA_vs_LumB
SNORD60,-1.9681539119102063,1.2352372282297592,-33.045375672683065,9.97993326948594e-199,6.237458293428712e-197,443.9370185653577,LumA_vs_LumB
DQ571986,-2.8945275750964914,3.6610202621195267,-32.99894625542782,2.896868031620177e-198,1.788190142975418e-196,442.8729353377996,LumA_vs_LumB
MIR7161,-1.1347523248227975,1.039859524267276,-32.84235574521008,1.049377722195486e-196,6.398644647533451e-195,439.2884521165213,LumA_vs_LumB
JA611306,-2.1856971276122446,3.1233739021537317,-32.8131388404231,2.0487658786762451e-196,1.2341963124555694e-194,438.6203934892728,LumA_vs_LumB
JA783798,-1.2762995944639748,-1.3967899294621384,-32.63856426356176,1.110461014641668e-194,6.609886991914691e-193,434.6335597245601,LumA_vs_LumB
SNORD65,-1.3778247523186906,1.4131217508407838,-32.55040474084962,8.313401338606519e-194,4.890236081533246e-192,432.6234382937471,LumA_vs_LumB
SNORD35A,-1.7207958808019503,2.779871496844355,-32.514493843311804,1.8864085214717269e-193,1.0967491403905388e-191,431.8052590612009,LumA_vs_LumB
T cell antigen receptor beta-chain,-1.8962562841068191,1.438416599940996,-32.46775662647272,5.476966426338989e-193,3.1476818542178094e-191,430.7409605621588,LumA_vs_LumB
DQ590691,-1.5622889334962344,-1.0254801814335457,-32.45447275273647,7.414130285001986e-193,4.21257402556931e-191,430.438573001973,LumA_vs_LumB
SNORD33,-2.401447447484757,0.1361564999829713,-32.312256892434824,1.8912232792742918e-191,1.0624849883563436e-189,427.2043765282172,LumA_vs_LumB
MIR8086,-1.796830383176342,1.6518585466591904,-32.11210360318188,1.787483535763972e-189,9.930464087577622e-188,422.6624088226488,LumA_vs_LumB
DQ577523,-1.5045700447452697,2.9104746903646066,-32.06668024795373,5.010347295394475e-189,2.7529380743925685e-187,421.6332557157648,LumA_vs_LumB
DQ576862,-1.5986087403257125,1.7771777238399975,-31.873028317271718,4.0297498546286305e-187,2.1900814427329513e-185,417.2524788058942,LumA_vs_LumB
MIR3654,-1.371416529888674,1.7106720212184758,-31.79493162607431,2.3568979405803403e-186,1.2536691173299682e-184,415.4889161766556,LumA_vs_LumB
MIR6748,-1.3899838820681147,2.230630430112439,-31.71925337168468,1.302860243936557e-185,6.785730437169567e-184,413.781700629626,LumA_vs_LumB
MIR6821,-1.631984498848971,-1.1997111405515923,-31.529864710765235,9.330641593064448e-184,4.809609068589922e-182,409.51685794726706,LumA_vs_LumB
SNORD35B,-2.7030907386146796,4.059141751200254,-31.52151101186446,1.1262255654660756e-183,5.7460488033983454e-182,409.32899128767076,LumA_vs_LumB
SNORD54,-1.2165145703242672,1.2210896233020272,-31.264327152579064,3.654242937089545e-181,1.809031156975022e-179,403.5556443544452,LumA_vs_LumB
MIR8075,-1.420705674361773,0.5888779311871986,-31.24369241382989,5.806219736536981e-181,2.8461861453612652e-179,403.0933146023113,LumA_vs_LumB
M87939,-1.6455855369682646,2.1458911172788935,-31.23690304034406,6.76155857724867e-181,3.2823099889556656e-179,402.941224891964,LumA_vs_LumB
DQ583840,-1.2796600203935589,-1.6086323850534163,-31.221962222002603,9.453728916627021e-181,4.5450619791476064e-179,402.60658410127644,LumA_vs_LumB
SNORD99,-1.8473953594965629,-0.5058300286173172,-31.2148541951992,1.1087670716213733e-180,5.279843198197016e-179,402.44740469294896,LumA_vs_LumB
DQ587139,-1.6687965867264845,1.752019016025398,-31.048232323213917,4.633280417206347e-179,2.185509630757711e-177,398.72055702927327,LumA_vs_LumB
SNORD38A,-1.2849077478639959,1.8508551868941174,-31.02879194253124,7.157730154147818e-179,3.344733716891504e-177,398.2863017028324,LumA_vs_LumB
X58752,-1.2706982852763158,2.271528129645309,-31.025358903140123,7.729048856366158e-179,3.5782633594287773e-177,398.2096275825322,LumA_vs_LumB
IGHV1-18,-1.678280817426993,2.571325110679771,-30.794964369103038,1.3261920181427854e-176,6.028145537012661e-175,393.07253470204927,LumA_vs_LumB
MIR6891,-1.2665717917973647,1.4723389492565813,-30.741961976039338,4.3212098895274384e-176,1.9120397741271851e-174,391.8931535076692,LumA_vs_LumB
SNORD110,-2.4581162168533517,1.2691253583473634,-30.709541048325523,8.896240676844879e-176,3.9018599459845964e-174,391.17218811271,LumA_vs_LumB
SNORD77,-2.302041678916563,0.2878877893560287,-30.598496797410185,1.052429661632888e-174,4.5757811375342956e-173,388.70541388710774,LumA_vs_LumB
MIR8072,-1.468920224692219,1.7468422020478638,-30.356746924147377,2.2494735307408002e-172,9.69600659802069e-171,383.34909975643507,LumA_vs_LumB
HW120450,-1.2749787431723798,0.7709202275742753,-30.323000348128566,4.7495118825843254e-172,2.029705932728344e-170,382.6029369496327,LumA_vs_LumB
SNORD32A,-1.4003179010683835,3.426380299630023,-29.903770796932395,4.952677667900889e-168,2.0985922321613935e-166,373.3654710967157,LumA_vs_LumB
MIR4767,-1.343902963240579,-1.012974131382049,-29.80984846171956,3.90380186373861e-167,1.6402528839237857e-165,371.3041878063358,LumA_vs_LumB
U30188,-1.5944662597923194,3.492548028455814,-29.799391050646065,4.911787460870572e-167,2.0465781086960713e-165,371.07487133870563,LumA_vs_LumB
MIR8078,-1.7713419947262585,-0.6423551622678603,-29.77554746089097,8.291225383885205e-167,3.4261261916881014e-165,370.55215663965976,LumA_vs_LumB
MIR6739,-1.1803959533541488,-0.32236845444768264,-29.757698054211968,1.2268164374458657e-166,5.027936219040433e-165,370.16097972900775,LumA_vs_LumB
DQ590404,-1.3404141456489969,0.4315487768447867,-29.59744778006598,4.1143987132136417e-165,1.6725198021193666e-163,366.65401782915285,LumA_vs_LumB
MIR1285-1,-2.445293344671971,0.34749127056060336,-29.486591356099865,4.6486741368097736e-164,1.8744653777458764e-162,364.23329326363114,LumA_vs_LumB
DL489966,-1.8549237394340492,0.7891339594243437,-29.366931623450384,6.33652265734731e-163,2.534609062938924e-161,361.62523423722604,LumA_vs_LumB
MIR4442,-1.4976436851056503,-0.44478034982374753,-29.17676891576946,3.983336991759268e-161,1.5682429101414442e-159,357.4910898560203,LumA_vs_LumB
DQ576653,-1.5453948732437968,-0.14516987338442425,-29.06814440200155,4.2167313215068155e-160,1.6471606724635999e-158,355.1354705414641,LumA_vs_LumB
SNORD50A,-1.257192242574679,1.9886965168503528,-28.88932623436986,2.031454302892594e-158,7.873853887180597e-157,351.26705987798584,LumA_vs_LumB
AY006094,-1.4763969814801425,4.864834472232233,-28.79035855542985,1.725734000253003e-157,6.63743846251155e-156,349.13115607413164,LumA_vs_LumB
SNORD58C,-1.0824798142887562,-0.7282970708009718,-28.729693497679776,6.393679262278211e-157,2.4403355962893937e-155,347.823698290235,LumA_vs_LumB
HTJA99,-1.3099535037201229,4.846752921606759,-28.72544149436222,7.007997597313105e-157,2.654544544436782e-155,347.73211045514336,LumA_vs_LumB
MIR4426,-1.397223314179581,-0.10940636836885714,-28.720577022151595,7.783457122240403e-157,2.9261117000903767e-155,347.62733839774177,LumA_vs_LumB
MIR4754,-1.1336418458976933,2.2973718969842536,-28.71066841755002,9.638316635896791e-157,3.5963868044391015e-155,347.41395217173465,LumA_vs_LumB
DQ594771,-1.3072787195978597,0.14477697904649184,-28.574087893888784,1.8277757995174914e-155,6.769539998212931e-154,344.47639452441933,LumA_vs_LumB
SNORD50B,-1.3138095824953322,4.189062288366093,-28.5685029904975,2.061167811082631e-155,7.577822834862613e-154,344.3564250214361,LumA_vs_LumB
DL492006,-1.6424720760757026,3.195255598029536,-28.491253000078096,1.0851291570054263e-154,3.960325390530753e-153,342.6982298179298,LumA_vs_LumB
T-cell antigen receptor VJ junction a...,-1.103598333837929,0.07445852151065846,-28.41336523722708,5.778401122204584e-154,2.093623595001661e-152,341.02864651663504,LumA_vs_LumB
SNORD63,-1.1523317041411936,-0.7678164555245841,-28.392193106004854,9.100603711863101e-154,3.2735984575047125e-152,340.57520697735066,LumA_vs_LumB
HM222546,-1.0676111168372535,0.0025546802283840596,-28.30079287464458,6.453530003727047e-153,2.304832144188231e-151,338.61968211129226,LumA_vs_LumB
SNORD96A,-1.3149465874740676,1.468204148619452,-28.238749917615873,2.4348923481957365e-152,8.588588091201578e-151,337.29409776733297,LumA_vs_LumB
SNORD46,-1.686585353149594,-0.8523318193180729,-28.230429739993337,2.909147828524789e-152,1.017184555428248e-150,337.1164456023081,LumA_vs_LumB
MIR564,-1.0762631702643473,2.3503747203874754,-28.18561993255834,7.582340972019582e-152,2.632757281951244e-150,336.1601301297633,LumA_vs_LumB
JA611303,-1.2336583544862791,-0.8800350865180753,-28.17353610751222,9.816076026037018e-152,3.384853802081731e-150,335.9023749365483,LumA_vs_LumB
HV975509,-1.5759129252077115,0.8926697209752482,-28.083983944172665,6.640311509060096e-151,2.2740792839246903e-149,333.9939490140565,LumA_vs_LumB
MIR5588,-1.1951349513363998,3.661494584156033,-28.01567924847649,2.8479746499853946e-150,9.686988605392498e-149,332.54043406866367,LumA_vs_LumB
DQ597999,-1.3544888188844793,5.740144432543592,-27.852391107561704,9.183017756331752e-149,3.102370863625592e-147,329.07314145663236,LumA_vs_LumB
JC221905,-1.3457512549295076,0.6998352472888258,-27.827288037878823,1.564876849658908e-148,5.251264596170832e-147,328.54103592858087,LumA_vs_LumB
MIR4516,-1.2653351199605274,1.009703285498419,-27.779560470483347,4.308365423666446e-148,1.4361218078888154e-146,327.5300558433276,LumA_vs_LumB
MIR1273D,-1.6640035756642388,1.2529667790796846,-27.50378340951075,1.4721862037145396e-145,4.8427177753767747e-144,321.7063885860461,LumA_vs_LumB
MIR619,-1.2809779921714584,-0.382053338443192,-27.472584987240896,2.842837502458007e-145,9.290318635483682e-144,321.0495018105244,LumA_vs_LumB
MIR5095,-1.1408219285847323,0.4610316935876939,-27.46123509515419,3.6114253886245756e-145,1.1725407105923946e-143,320.8106268758092,LumA_vs_LumB
DQ574810,-1.461203241597901,0.15365407804370884,-27.439868810821306,5.665779460012252e-145,1.8276707935523395e-143,320.36108521762696,LumA_vs_LumB
TRNA_Asn,-1.629587847132769,-1.08631173402608,-27.424410668545523,7.84709250123122e-145,2.515093750394622e-143,320.03596588405986,LumA_vs_LumB
DQ594020,-1.6985826144321026,3.3511866292788937,-27.366578538147635,2.6516921575223683e-144,8.444879482555312e-143,318.8204951596148,LumA_vs_LumB
MIR6850,-1.119360101835035,4.0590078382949075,-27.18197500350137,1.280955775905211e-142,4.053657518687377e-141,314.9498633356468,LumA_vs_LumB
RNY3,-1.4182790713523747,-1.4842863777857052,-27.158990918142003,2.073832830390147e-142,6.521486888019329e-141,314.4689386683091,LumA_vs_LumB
DQ595741,-1.4035749608920898,2.6711337115247535,-27.09814775817393,7.416677582418349e-142,2.3177117445057343e-140,313.19690459463277,LumA_vs_LumB
MIR4461,-1.0725249708322788,1.6899382227982702,-27.097768400580655,7.475805165383004e-142,2.321678622789753e-140,313.1889783022547,LumA_vs_LumB
DQ591798,-2.153126832403577,1.0817114373712435,-27.04059461910487,2.47230143578299e-141,7.630559986984537e-140,311.99507904661596,LumA_vs_LumB
MIR939,-1.1445310333513785,0.8453665580338767,-27.025232310487166,3.4085685883235853e-141,1.0455731866023268e-139,311.67451797754734,LumA_vs_LumB
DQ576856,-1.1157352825312228,1.4469101583881876,-26.92836966558746,2.5761607444823373e-140,7.854148611226639e-139,309.65559973241125,LumA_vs_LumB
TRNA_Lys,-2.0338835957172905,0.3739277478116971,-26.900318661750408,4.624168108662893e-140,1.4012630632311798e-138,309.0716694419008,LumA_vs_LumB
MIR635,-1.257493307571202,-1.433898500797871,-26.823661355665198,2.2834367480547307e-139,6.877821530285334e-138,307.47761653309163,LumA_vs_LumB
MIR940,-1.3700063137350393,-0.9138417083564286,-26.760282480166236,8.534731849866984e-139,2.5400987648413643e-137,306.1615709763128,LumA_vs_LumB
Y_RNA,-1.2472302108013915,1.5864130991781704,-26.69557049053557,3.2739153079396134e-138,9.686139964318382e-137,304.8196152097444,LumA_vs_LumB
TRNA_Gly,-1.2091489746477952,1.647090452544415,-26.686241804070754,3.9735011492855926e-138,1.1686768086134096e-136,304.6263109403759,LumA_vs_LumB
U73752,-1.503441686496919,-0.16917956082002591,-26.680640922328166,4.463362842055662e-138,1.3050768544022404e-136,304.51027028774865,LumA_vs_LumB
CLEC3A,-1.049565657715572,-0.6706968755156272,-26.66158643459673,6.628024890493753e-138,1.926751421655161e-136,304.11559496384604,LumA_vs_LumB
MIR3916,-1.0323417729667546,-0.24411157888423315,-26.623025819655016,1.4746575371584308e-137,4.237521658501238e-136,303.31736752271235,LumA_vs_LumB
