,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
JC037706,-1.1660037400638346,6.67040969585893,-24.497498827343723,1.1474125998551964e-115,5.737062999275982e-112,253.15945137028606,LumA_vs_Normal
DQ584699,-1.2584002204224178,7.604378591930767,-22.60352460778011,1.380392812027663e-100,1.1503273433563859e-97,218.59304191671814,LumA_vs_Normal
Histone3,-1.6411998488433648,2.5958900279997135,-22.31409793985523,2.420186992724528e-98,1.51261687045283e-95,213.4503523214414,LumA_vs_Normal
DQ580854,-1.253136720312427,3.67340130538386,-21.707174526080653,1.0802266553539538e-93,5.401133276769769e-91,202.79432948393097,LumA_vs_Normal
DQ586951,-1.455273587709085,5.964366431864498,-21.479408203291975,5.7346152325901846e-92,2.389423013579244e-89,198.84124884873955,LumA_vs_Normal
AY006260,-1.3555848865933608,-0.43138343192544615,-21.020091275746616,1.5962494440282196e-88,4.694851305965352e-86,190.94781672102192,LumA_vs_Normal
DQ585302,-1.6978838165714043,6.463500068621317,-20.568457501534596,3.5043492355493296e-85,7.300727574061104e-83,183.29116946585967,LumA_vs_Normal
AY006263,-1.1723304691146001,6.241078463284773,-20.451643746049864,2.519878980149495e-84,4.1997983002491584e-82,181.32807681087348,LumA_vs_Normal
MIR6759,-1.1629279798880585,4.241012424862824,-20.278264484997127,4.647969168723716e-83,6.835248777534877e-81,178.42767665361336,LumA_vs_Normal
DM110819,-1.2036454100590246,6.060574394321981,-19.661368939943774,1.3014330762081865e-78,1.3845032725619004e-76,168.23908041351558,LumA_vs_Normal
JC037840,-1.2192963309154983,5.104288697660672,-19.191439439421305,2.760179647028006e-75,2.6540188913730827e-73,160.6187716244467,LumA_vs_Normal
DQ590318,-2.372809444690994,5.459575181797981,-18.767337371103206,2.4904642224476744e-72,2.041364116760389e-70,153.8494273883122,LumA_vs_Normal
MIR4459,-1.1785062781359994,0.7154191157696385,-18.743809554088383,3.621689042101396e-72,2.8743563826201555e-70,153.47693446754846,LumA_vs_Normal
SNORD42A,-1.010685505549655,3.249664273328879,-18.67328193203829,1.1106492961642015e-71,8.676947626282824e-70,152.3622786740184,LumA_vs_Normal
SNORD36A,-1.1482953523985249,4.306713659159044,-18.5188308245687,1.2791444270072055e-70,9.136745907194325e-69,149.9314569224717,LumA_vs_Normal
Mir_548,-1.1312460553977728,2.7635944217139405,-18.50196020117701,1.669090219071165e-70,1.1754156472332147e-68,149.66679208800804,LumA_vs_Normal
HW321074,-1.3069545073478017,4.334119375358822,-18.40834963785314,7.283883734573244e-70,4.9889614620364685e-68,148.20130424180968,LumA_vs_Normal
MIR6777,-1.1659058308606802,6.445444313570418,-18.401646246067934,8.092784845123507e-70,5.395189896749005e-68,148.0965614119281,LumA_vs_Normal
DQ571986,-1.12240087215799,4.318114077664328,-18.259113679721665,7.547396738084918e-69,4.65888687536106e-67,145.87578928824232,LumA_vs_Normal
T cell antigen receptor beta-chain,-1.1895631742252089,6.378291503535582,-18.1232188806676,6.272134231333514e-68,3.6046748455939736e-66,143.76979181288573,LumA_vs_Normal
DQ576862,-1.1788881001327696,-0.10366507142015238,-18.00189597490026,4.114665418550723e-67,2.2362312057340885e-65,141.89905113413892,LumA_vs_Normal
MIR3654,-1.3535317883138298,4.4660719002302995,-17.983588602756907,5.460963766191327e-67,2.9047679607400676e-65,141.6175368235895,LumA_vs_Normal
JA611308,-1.1412905326891882,2.0485075305626648,-17.96504371021006,7.272919313340299e-67,3.827852270179105e-65,141.3325783429529,LumA_vs_Normal
MIR6891,-1.3210451951166817,0.8561225794927971,-17.602749329639757,1.8811163598345696e-64,8.323523716082166e-63,135.8079471567808,LumA_vs_Normal
MIR4767,-1.2017231655396867,1.613340163493789,-17.518375533086836,6.780324686876533e-64,2.848875918855686e-62,134.5329913959274,LumA_vs_Normal
MIR1285-1,-1.3742759136990266,1.6203054065222446,-17.357344056992424,7.738202957673573e-63,3.120243128094183e-61,132.11203683263474,LumA_vs_Normal
DQ576653,-1.2157633937998515,9.386438649220647,-17.21148221680087,6.923272240111064e-62,2.704403218793384e-60,129.93324089902285,LumA_vs_Normal
MIR564,-1.0842753038071493,2.4772463185678104,-16.949522674073286,3.425588938657821e-60,1.1894406037006323e-58,126.05422753259903,LumA_vs_Normal
TRNA_Asn,-1.7051403523006066,5.050579240641095,-16.680674912442786,1.7939840647816015e-58,5.749948925582056e-57,122.11913687548135,LumA_vs_Normal
SNORD49A,-1.6636046240540243,6.268923854949253,-16.202568061544177,1.8210581361524026e-55,5.203023246149722e-54,115.23804380535756,LumA_vs_Normal
MIR3936,-1.0929159973168714,3.3036431459823943,-16.048491401696044,1.641329916656959e-54,4.436026801775566e-53,113.0528784738324,LumA_vs_Normal
MIR7111,-1.2372125714470357,1.6459589350922257,-15.873385930348102,1.9587916043016373e-53,4.946443445206155e-52,110.58888175554841,LumA_vs_Normal
SNORD38B,-1.0895074503697362,4.2101117516760915,-15.820405848090944,4.1305810645042863e-53,1.022421055570368e-51,109.84746593977296,LumA_vs_Normal
DQ593032,-1.4689779431994925,5.40816869707843,-15.72354902150465,1.6078365780464009e-52,3.810039284470144e-51,108.49697037825725,LumA_vs_Normal
DQ595000,-1.2569269870734958,3.760024436002484,-15.656136729223865,4.124810061854102e-52,9.592581539195586e-51,107.56081013351293,LumA_vs_Normal
PA9,-1.068034047315504,2.4572844287640234,-15.638430326151138,5.2801978847402396e-52,1.216635457313419e-50,107.31543627719029,LumA_vs_Normal
TRNA_Ile,-1.1986398751024503,3.565932100786386,-15.636130516931681,5.452216854329214e-52,1.2505084528278013e-50,107.2835815016758,LumA_vs_Normal
SNORD49B,-1.0315849377611976,5.399802875280724,-15.47245448540216,5.289464841141487e-51,1.1112321094835057e-49,105.02584566702133,LumA_vs_Normal
SNORD59B,-1.6288646074575257,0.8322537857844268,-15.334410302916554,3.543853711492243e-50,7.202954698154965e-49,103.13607637182913,LumA_vs_Normal
