,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
DQ597485,1.5054390196002914,-2.1906495068818397,24.25715621648297,1.0228095017751574e-113,2.5570237544378936e-110,248.68925627606703,LumA_vs_Normal
DQ584545,1.6056616785833584,3.64413786759964,23.410798361936845,6.227444724888783e-107,1.0379074541481305e-103,233.13765100413008,LumA_vs_Normal
DQ572382,2.072269749306994,-1.7077219930464964,23.236608353203586,1.4934026677187815e-105,1.866753334648477e-102,229.97483424010272,LumA_vs_Normal
DQ590013,1.9628633894649743,-0.15203215866695632,22.7717855693836,6.727156152611483e-102,6.727156152611483e-99,221.6004957525283,LumA_vs_Normal
KF274566,2.06107878558419,-1.3312568447162654,22.329576436046366,1.837705999401392e-98,1.3126471424295658e-95,213.72439800699505,LumA_vs_Normal
SNORD81,1.2477195222096296,-1.2654735391569942,21.858116702322963,7.661229595569781e-95,4.256238664205434e-92,205.42800552249022,LumA_vs_Normal
DQ141286,1.4480755739554971,-0.6614668368100485,21.679488704743708,1.753002979921693e-93,7.968195363280423e-91,202.31246160559965,LumA_vs_Normal
DQ593048,1.9735228283014794,-1.3162222617553367,21.333170277613743,7.247328397185287e-91,2.787433998917418e-88,196.31666017573193,LumA_vs_Normal
septin 9/TNRC6C fusion,1.1536559667136086,0.8313144714880557,21.121295277510114,2.806024115582e-89,1.0021514698507145e-86,192.6779040504815,LumA_vs_Normal
DQ598167,2.1359900906916516,2.5810162584675598,21.10500651758921,3.71331907455138e-89,1.23777302485046e-86,192.39909608858449,LumA_vs_Normal
DQ584698,1.42626770367763,2.301431804693509,21.094551931902757,4.444504287651685e-89,1.3889075898911516e-86,192.22022007376384,LumA_vs_Normal
MIR1281,1.26367343311366,-2.1367816106665014,20.963827317050676,4.186650998512855e-88,1.1629586106980152e-85,189.98823553632133,LumA_vs_Normal
M26316,1.9491570991386744,-1.2415521755658219,20.770624556684165,1.1336785178533449e-86,2.983364520666697e-84,186.7055177203382,LumA_vs_Normal
MIR4519,1.327525082476525,0.08197558965832151,20.718134022432437,2.768662598745749e-86,6.9216564968643725e-84,185.81697495189738,LumA_vs_Normal
