,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
JC037706,3.2677129164599448,-1.5849848287261297,49.523580985571535,1.2508006887297864e-270,6.2540034436489314e-267,609.4254180617103,LumB_vs_Normal
DQ597485,5.045553604174361,-0.37698057780406685,49.24272137689724,6.952035495887939e-269,1.7380088739719846e-265,605.416757653899,LumB_vs_Normal
DQ584545,5.373336245543513,-0.12156353176908065,48.5683810175259,1.1186289363813271e-264,1.8643815606355454e-261,595.752579457058,LumB_vs_Normal
DQ572382,2.4054484398740112,-2.263441619600597,45.8655722048236,1.4005062671887807e-247,1.7506328339859758e-244,556.4684405166885,LumB_vs_Normal
DQ590013,4.9468968317912845,2.452327977402867,44.46801447477932,1.3543327771706548e-238,1.3543327771706549e-235,535.8206949441588,LumB_vs_Normal
DQ584699,2.5074376372536986,-1.9231639670061853,44.377482962998876,5.212887659442057e-238,4.344073049535048e-235,534.475552380876,LumB_vs_Normal
KF274566,3.3241007866779064,-2.075092277078053,44.18474093360594,9.217432144034389e-237,6.583880102881707e-234,531.6087008249123,LumB_vs_Normal
Histone3,3.0225923344178334,-2.2135629514744837,43.31963474799707,3.8527713384973266e-231,2.4079820865608292e-228,518.6908154125348,LumB_vs_Normal
SNORD81,3.5674255843696594,-1.4019520067130549,43.147484106942294,5.111263711219425e-230,2.8395909506774584e-227,516.110568498441,LumB_vs_Normal
DQ580854,3.144459477802977,-1.9035049712945042,43.02246563154914,3.347708953967923e-229,1.6738544769839613e-226,514.2347697542605,LumB_vs_Normal
DQ141286,3.7444320247808194,-1.1671656322199142,42.47137615899469,1.3526840302174657e-225,6.148563773715753e-223,505.9464606087144,LumB_vs_Normal
DQ586951,4.646856546527056,-0.247067105604966,42.098140534444134,3.81493817812343e-223,1.5895575742180959e-220,500.31510430955757,LumB_vs_Normal
DQ593048,3.485828954637149,-0.9903140467218602,42.08940792923696,4.354025931630751e-223,1.6746253583195198e-220,500.18317617489697,LumB_vs_Normal
septin 9/TNRC6C fusion,3.5427252285081527,1.7293232649111092,41.60227229846202,7.020144951524558e-220,2.507194625544485e-217,492.81153391093545,LumB_vs_Normal
DQ598167,4.432445170183317,0.9450368557189367,41.28786914890504,8.354400505320917e-218,2.7848001684403055e-215,488.0412056398571,LumB_vs_Normal
