,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
MIR658,-2.0039532779585527,2.8846481783916755,-27.823006136196785,1.8625146961601866e-126,5.261340949605048e-125,278.06403651548277,LumB_vs_Normal
CPB1,-1.7671622853294198,3.7044363454087557,-27.754491554040584,5.445603526214177e-126,1.5211183034117811e-124,276.99304969485513,LumB_vs_Normal
MIR7111,-1.667113471114165,1.4304019246391457,-27.010771492022524,6.0813596941019865e-121,1.5356968924499967e-119,265.39045588668455,LumB_vs_Normal
MIR4653,-1.6380588032641479,3.293458978493425,-26.72848348543651,4.951805229781488e-119,1.1846423994692555e-117,260.9987368248053,LumB_vs_Normal
DQ595000,-1.6322889665348435,2.805484707115749,-26.378285701261913,1.149904759803484e-116,2.6741971158220554e-115,255.56103110435546,LumB_vs_Normal
L13711,-1.7624604889507995,2.999307794292535,-25.896230496072214,2.0340809992021268e-113,4.500179201774617e-112,248.09680540470336,LumB_vs_Normal
AY135845,-1.9493532712463995,1.8001881942395068,-25.76937491326709,1.44927972380887e-112,3.1100423257701073e-111,246.13688729261253,LumB_vs_Normal
KC823651,-1.5795797922573094,1.7365576658210962,-25.759659987278848,1.6843292405772654e-112,3.5989941037975755e-111,245.98686972229677,LumB_vs_Normal
MIR7112-2,-1.6061410325215426,0.6227441689833593,-25.688382480906046,5.072165371256296e-112,1.0746113074695542e-110,244.88654933490366,LumB_vs_Normal
MIR7641-2,-1.6974103339543865,3.3786489319306954,-25.433817242793403,2.58764889005476e-110,5.390935187614083e-109,240.96186424234824,LumB_vs_Normal
SNORA76,-1.5075673070348359,4.043524965598824,-25.35476887018278,8.759388850379086e-110,1.7949567316350587e-108,239.7448189286716,LumB_vs_Normal
MIR6869,-1.6468104047619827,3.754248396052683,-25.34652397414465,9.946924190481678e-110,2.0135474069800966e-108,239.61792517618153,LumB_vs_Normal
MIR1273A,-1.941099042363526,4.545924640867523,-25.21600297183333,7.434643809990536e-109,1.4929003634519148e-107,237.61031617477218,LumB_vs_Normal
MIR1914,-1.399616145899539,1.8977990030292244,-24.85972852355295,1.7812671783923437e-106,3.4655003470668164e-105,232.1420194557343,LumB_vs_Normal
SNORD24,-1.5858970906440801,2.1535335677844363,-24.67955131832604,2.8257905241089586e-105,5.413391808637852e-104,229.3833991228876,LumB_vs_Normal
DL490450,-1.8022272523790717,3.9244584837368075,-24.632880705140057,5.777533798621717e-105,1.0983904560117332e-103,228.66962206617586,LumB_vs_Normal
DL490813,-1.704198899823953,1.6517848209858563,-24.4978152906991,4.5691465382265217e-104,8.524527123556944e-103,226.60578649097977,LumB_vs_Normal
HTJA258,-1.4555589331439158,2.053424806158455,-24.458282648316874,8.36514126626739e-104,1.549100234493961e-102,226.0022433229151,LumB_vs_Normal
MIR4635,-1.432720253208515,1.0146196802578267,-24.43829505699989,1.135593318737133e-103,2.0951906249762604e-102,225.69718540944237,LumB_vs_Normal
SNORD22,-1.5494416505471071,2.1543275471535086,-24.300889521052113,9.270154553061114e-103,1.673313096220418e-101,223.6017410945408,LumB_vs_Normal
SNORD98,-1.848207671725228,2.045713321874963,-24.284493894860418,1.1907139006208891e-102,2.1415717637066347e-101,223.35190567882879,LumB_vs_Normal
DL491652,-1.5417562869194257,2.203842511426798,-24.153638726314156,8.766963622388253e-102,1.527969970388371e-100,221.35949136028077,LumB_vs_Normal
CYP4Z1,-1.348477924858647,1.575409819526739,-24.077598496029218,2.7934245180345665e-101,4.799698484595475e-100,220.20297573639564,LumB_vs_Normal
AK293147,-1.5041092519391686,0.42022407582278765,-24.069338939353372,3.1679603875530987e-101,5.406075746677643e-100,220.0774114106033,LumB_vs_Normal
SNORA36A,-1.794532438379913,3.055048951585545,-24.065847456861835,3.341003258397959e-101,5.662717387115185e-100,220.02433621896134,LumB_vs_Normal
CALML5,-1.4519459310110847,2.4525658610721375,-23.95922218639928,1.693600704298138e-100,2.841611919963319e-99,218.40447002495517,LumB_vs_Normal
SNORD88C,-1.433970617630822,2.3644435752172215,-23.947763476422008,2.016133153094659e-100,3.3714601222318715e-99,218.23050145145095,LumB_vs_Normal
RNY4,-2.133710872578313,6.612900959180697,-23.85688383819815,8.028299250759905e-100,1.3302606372568413e-98,216.85153908579917,LumB_vs_Normal
MIR3159,-1.4115252669508878,1.1752557710353357,-23.856830788122544,8.034774249031322e-100,1.3302606372568413e-98,216.8507345434461,LumB_vs_Normal
SNORA31,-1.4778421198258134,1.7516542136735755,-23.769805287024006,3.0133753333145467e-99,4.972566556624665e-98,215.53158619294166,LumB_vs_Normal
